datetime,MCD_buy_hold,S12_full,L1+L4
2025-07-24,50909.22482001333,51463.96497000256,49873.2123626899
2025-07-25,51596.75058754918,51463.96497000256,49873.2123626899
2025-07-28,51728.17165173793,51463.96497000256,49873.2123626899
2025-07-29,52325.184804530145,52037.34323390248,50012.126144091606
2025-07-30,52487.743383188004,52199.0075755543,50050.969294727445
2025-07-31,51874.343716560965,51588.98222903954,49753.50308306104
2025-08-01,52363.041793231605,52074.991970781644,49987.86210837394
2025-08-04,52599.71635873201,52310.36458619979,50100.83162981152
2025-08-05,51652.74321788094,51368.600757790184,49649.83925597281
2025-08-06,53186.630145511626,52894.04975206117,50387.04346478372
2025-08-07,53230.897599536744,52938.07369020493,50418.90340244899
2025-08-08,52804.82714287652,52514.34705306301,50015.34069421511
2025-08-11,52616.41978594209,52326.976127624046,49836.886210861245
2025-08-12,52147.82656823686,51860.96064773805,49393.047063975835
2025-08-13,52740.68851363981,52450.56125131934,49954.59027485943
2025-08-14,53410.62560106132,53116.813005489086,50589.13702908733
2025-08-15,53407.99671732341,53114.19858327724,50586.647019690245
2025-08-18,53368.33836504694,53074.75839214917,50549.083673537985
2025-08-19,53753.859401662616,53458.15867217119,50914.23903971215
2025-08-20,54126.44285176918,53828.69253552769,51267.140264891495
2025-08-21,54151.56369661621,53853.67519025724,51290.93406711628
2025-08-22,54298.94041064257,54000.24118292643,51430.525406795845
2025-08-25,54189.970996336546,53891.87121088671,51327.3124492566
2025-08-26,54103.52913018417,53805.90486264439,51245.43699165579
2025-08-27,53842.90242975719,53546.71187332762,50998.57824935568
2025-08-28,53979.687969690436,53682.74495409994,51128.13790804546
2025-08-29,54207.889313282285,53909.690958921274,51344.28420686283
2025-09-02,54899.71063106739,54597.70655799847,51999.55912737189
2025-09-03,55009.809460805096,54707.199732539855,52103.84183744432
2025-09-04,55114.7680228069,54811.58091602976,52203.25582137976
2025-09-05,54661.59500087877,54360.90080520908,51774.022277563105
2025-09-08,54386.8610384127,54087.67815809825,51513.801508430915
2025-09-09,54339.343795326764,54040.42230802857,51468.79442801073
2025-09-10,53193.77382905809,52901.15413810493,50383.74074538132
2025-09-11,53626.34918472903,53331.34989071748,50793.46472253331
2025-09-12,53098.50695845981,52806.41133188911,50293.50647613634
2025-09-15,52519.08227611803,52230.17407279771,49744.69068670958
2025-09-16,52731.370843722834,52441.29483803442,49945.764823464386
2025-09-17,53023.39198455151,52731.70956649883,50222.3595523694
2025-09-18,52356.83682541613,52068.82113658058,49591.016071489525
2025-09-19,52572.200981448135,52283.00057138969,49795.00332455103
2025-09-22,52678.27539526002,52262.087371161135,49775.08532322121
2025-09-23,52713.285536890085,52262.087371161135,49775.08532322121
2025-09-24,52912.230586843965,52262.087371161135,49775.08532322121
2025-09-25,52562.43388623517,52262.087371161135,49775.08532322121
2025-09-26,53072.481133236346,52262.087371161135,49775.08532322121
2025-09-29,52682.3226976172,52262.087371161135,49775.08532322121
2025-09-30,52838.972286247335,52262.087371161135,49775.08532322121
2025-10-01,52252.01357715248,52262.087371161135,49775.08532322121
2025-10-02,52140.89560276981,52262.087371161135,49775.08532322121
2025-10-03,52333.342632821266,52262.087371161135,49775.08532322121
2025-10-06,51471.00632598799,52262.087371161135,49775.08532322121
2025-10-07,51520.500065699496,52262.087371161135,49775.08532322121
2025-10-08,51186.737703208004,52262.087371161135,49775.08532322121
2025-10-09,51084.228249183485,52262.087371161135,49775.08532322121
2025-10-10,51639.39453125136,52262.087371161135,49775.08532322121
2025-10-13,52186.20759594323,52262.087371161135,49775.08532322121
2025-10-14,52959.89410348271,52262.087371161135,49775.08532322121
