datetime,AAPL_buy_hold,S12_full,L1+L4
2025-03-06,48410.050816796385,46690.60438675774,47574.13509759629
2025-03-07,49180.178630356815,47433.37851038481,48330.964806025935
2025-03-10,46771.09467008502,45109.86130216681,45963.47946251421
2025-03-11,45395.86482846387,43783.47739236687,45278.545167804485
2025-03-12,44600.335812459714,43765.96400140993,45269.48945877092
2025-03-13,43093.67133902078,43765.96400140993,45269.48945877092
2025-03-14,43873.28922853086,43765.96400140993,45269.48945877092
2025-03-17,43978.21118839535,43765.96400140993,45269.48945877092
2025-03-18,43709.227391903325,43765.96400140993,45269.48945877092
2025-03-19,44231.76791143044,43765.96400140993,45269.48945877092
2025-03-20,43997.634502500194,43765.96400140993,45269.48945877092
2025-03-21,44871.124160701,43765.96400140993,45269.48945877092
2025-03-24,45377.5267456585,43765.96400140993,45269.48945877092
2025-03-25,45998.26702214908,43765.96400140993,45269.48945877092
2025-03-26,45541.44244167629,43765.96400140993,45269.48945877092
2025-03-27,46018.702531771094,43765.96400140993,45269.48945877092
2025-03-28,44787.88864915689,43765.96400140993,45269.48945877092
2025-03-31,45661.65227183609,43765.96400140993,45269.48945877092
2025-04-01,45886.88203936733,43765.96400140993,45269.48945877092
2025-04-02,46035.26313094197,43765.96400140993,45269.48945877092
2025-04-03,41735.88928484076,43765.96400140993,45269.48945877092
2025-04-04,38639.57740924262,43765.96400140993,45269.48945877092
2025-04-07,37275.31241548379,43765.96400140993,45269.48945877092
2025-04-08,35500.65367511614,43765.96400140993,45269.48945877092
2025-04-09,40957.63557963186,43765.96400140993,45269.48945877092
2025-04-10,39235.669622088455,43765.96400140993,45269.48945877092
2025-04-11,40886.05479964621,43765.96400140993,45269.48945877092
2025-04-14,41903.442466764,43765.96400140993,45269.48945877092
2025-04-15,41825.00535510225,43765.96400140993,45269.48945877092
2025-04-16,40180.48986950355,43765.96400140993,45269.48945877092
2025-04-17,40741.66659252802,43765.96400140993,45269.48945877092
2025-04-21,39951.135702265834,43765.96400140993,45269.48945877092
2025-04-22,41300.776966795966,43765.96400140993,45269.48945877092
2025-04-23,42314.48609880382,43765.96400140993,45269.48945877092
2025-04-24,43093.15897438033,43765.96400140993,45269.48945877092
2025-04-25,43287.19453474224,43765.96400140993,45269.48945877092
2025-04-28,43464.97418269759,43765.96400140993,45269.48945877092
2025-04-29,43689.91277407552,43765.96400140993,45269.48945877092
2025-04-30,43962.79957419836,43765.96400140993,45269.48945877092
2025-05-01,44146.79256354363,43765.96400140993,45269.48945877092
2025-05-02,42492.019251517995,43765.96400140993,45269.48945877092
2025-05-05,41145.63506137584,43765.96400140993,45269.48945877092
2025-05-06,41067.22795156878,43765.96400140993,45269.48945877092
2025-05-07,40601.68966553108,43765.96400140993,45269.48945877092
2025-05-08,40858.58559945373,43765.96400140993,45269.48945877092
2025-05-09,41074.48774945552,43765.96400140993,45269.48945877092
2025-05-12,43670.426489259604,43765.96400140993,45269.48945877092
2025-05-13,44114.67081374789,43765.96400140993,45269.48945877092
2025-05-14,43990.31839019769,43765.96400140993,45269.48945877092
2025-05-15,43808.67786981234,43765.96400140993,45269.48945877092
2025-05-16,43770.28869639025,43765.96400140993,45269.48945877092
2025-05-19,43259.366683555556,43765.96400140993,45269.48945877092
2025-05-20,42860.6470810904,43765.96400140993,45269.48945877092
2025-05-21,41867.06186666131,43765.96400140993,45269.48945877092
2025-05-22,41716.757246721114,43765.96400140993,45269.48945877092
2025-05-23,40468.22088769395,43765.96400140993,45269.48945877092
2025-05-27,41485.95145048867,43765.96400140993,45269.48945877092
2025-05-28,41529.532178002795,43765.96400140993,45269.48945877092
2025-05-29,41443.81523810279,43765.96400140993,45269.48945877092
2025-05-30,41631.253607203114,43765.96400140993,45269.48945877092
2025-06-02,41808.2738134664,43765.96400140993,45269.48945877092
2025-06-03,42134.397745235714,43765.96400140993,45269.48945877092
2025-06-04,42041.08309906937,43765.96400140993,45269.48945877092
2025-06-05,41589.12401462352,43765.96400140993,45269.48945877092
2025-06-06,42268.888943522645,43765.96400140993,45269.48945877092
2025-06-09,41758.30529873835,43765.96400140993,45269.48945877092
2025-06-10,42013.01570410248,43765.96400140993,45269.48945877092
2025-06-11,41210.62066596434,43765.96400140993,45269.48945877092
2025-06-12,41297.655502965696,43765.96400140993,45269.48945877092
2025-06-13,40729.3361692384,43765.96400140993,45269.48945877092
2025-06-16,41136.767065970234,43765.96400140993,45269.48945877092
2025-06-17,40558.415566028954,43765.96400140993,45269.48945877092
2025-06-18,40753.08389764846,43765.96400140993,45269.48945877092
2025-06-20,41664.606373025585,43765.96400140993,45269.48945877092
2025-06-23,41768.33222982549,43765.96400140993,45269.48945877092
2025-06-24,41522.13996509475,43765.96400140993,45269.48945877092
2025-06-25,41783.20729507809,43765.96400140993,45269.48945877092
2025-06-26,41667.06588246753,43765.96400140993,45269.48945877092
2025-06-27,41684.38947961517,43765.96400140993,45269.48945877092
2025-06-30,42529.237632169636,43765.96400140993,45269.48945877092
2025-07-01,43076.82289753782,43765.96400140993,45269.48945877092
2025-07-02,44030.63678886276,43765.96400140993,45269.48945877092
2025-07-03,44261.08897900709,43977.52453360725,45324.19656679835
2025-07-07,43512.630457770196,43233.861109607555,45132.587628105466
2025-07-08,43525.076942877524,43246.227854683006,45134.529300633396
2025-07-09,43760.03642091713,43479.68203414956,45256.35315702724
2025-07-10,44024.433778191815,43742.38549523438,45393.07219514131
2025-07-11,43766.4262585276,43486.03093443111,45260.057946440065
2025-07-14,43238.37386236841,42961.36157489196,44987.021236659995
2025-07-15,43339.99696821003,43062.33361903781,45083.756782388635
2025-07-16,43557.783819806304,43278.725190734454,45310.306162513676
2025-07-17,43528.98867711726,43250.11452788663,45280.352463844545
2025-07-18,43769.151505093454,43488.73872134903,45530.17810487056
2025-07-21,44038.250526887125,43756.11372512524,45810.10417080506
2025-07-22,44435.37501856505,44150.69398689752,46223.20673766195
2025-07-23,44384.053837212625,44099.70160139407,46169.820678138814
2025-07-24,44303.19306360463,44019.35887288961,46085.70651788051
2025-07-25,44328.80396672283,44044.80569641315,46112.3478609338
2025-07-28,44364.03816233948,44079.81415955529,46148.99968411617
2025-07-29,43788.2214411221,43507.68648334268,45550.01530879103
2025-07-30,43329.85624423887,43052.25786293877,45073.20805222955
2025-07-31,43022.58404723162,42746.954245379995,44753.572935364486
2025-08-01,41974.40164717264,41705.487162720725,43663.217520192185
2025-08-04,42178.09004345833,41907.87060270146,43875.101201777914
2025-08-05,42088.92274967287,41819.27457082557,43782.34631328736
2025-08-06,44210.704725028045,43927.46307292965,45989.49696427457
2025-08-07,45610.19189947785,45317.98425007526,47445.29169908379
2025-08-08,47535.744192163234,47231.20024059186,49448.317479147285
2025-08-11,47138.633380413936,46836.63357110597,49231.88364738935
2025-08-12,47649.90563688977,47344.63029511751,49498.871619227924
2025-08-13,48410.58721041589,48100.43846282606,49893.970822970434
2025-08-14,48297.3003566402,47987.87739607013,49835.59174410962
2025-08-15,48053.005045435995,47745.14719467307,49709.5536290983
2025-08-18,47907.843117218516,47600.91526530147,49634.470555221786
2025-08-19,47839.62223511805,47533.1314491893,49599.13075339036
2025-08-20,46893.449534364365,46593.02052737805,49108.64461128283
2025-08-21,46663.47133052905,46574.3833191671,49098.82288236057
2025-08-22,47255.02655078865,46574.3833191671,49098.82288236057
2025-08-25,47131.33651584444,46574.3833191671,49098.82288236057
2025-08-26,47578.067679839696,46574.3833191671,49098.82288236057
2025-08-27,47824.09489965672,46574.3833191671,49098.82288236057
2025-08-28,48253.08114631938,46973.529792083515,49204.0181666628
2025-08-29,48165.918581737045,46888.678561304136,49181.79809123302
2025-09-02,47665.032799544904,46401.07502069525,48921.154866289144
2025-09-03,49472.33073104795,48160.44791900196,49848.61779669784
2025-09-04,49744.11983194731,48141.18373983436,49838.6480731385
2025-09-05,49725.50635236595,48103.913580628614,49829.00199568472
