symbol,mcap_bUSD,strategy,total_return,sharpe,max_drawdown,avg_exposure,n_trades,vs_qqq,final_equity
TXN,254.2,buy_hold,0.24321504367376123,1.113547404250971,-0.18375428647350334,0.9922480620155039,1,0.09916186361007195,124321.50436737612
TXN,254.2,sma,0.37153955336584965,1.8018434747863332,-0.14492586661710605,0.40310077519379844,4,0.22748637330216037,137153.95533658497
TXN,254.2,regime,0.3184665981785235,1.9430108069229417,-0.09695711603924306,0.10852713178294573,4,0.17441341811483424,131846.65981785234
TXN,254.2,sma_rs5_entry,0.3780229491568683,1.9565258613370136,-0.13209089514015304,0.34108527131782945,2,0.23396976909317901,137802.29491568683
TXN,254.2,regime_rs5_entry,0.21193710215901063,1.4359371762270865,-0.09768754596566476,0.09302325581395349,4,0.06788392209532135,121193.71021590107
LIN,225.9,buy_hold,0.07303803998925051,0.7533437367852435,-0.12422586758817467,0.9922480620155039,1,-0.07101514007443877,107303.80399892505
LIN,225.9,sma,-0.054902667888790946,-0.7010577723472549,-0.07636019903734637,0.5658914728682171,8,-0.19895584795248022,94509.73321112091
LIN,225.9,regime,0.01704045572905044,0.2930081260675065,-0.0759905952754566,0.6124031007751938,2,-0.12701272433463884,101704.04557290504
LIN,225.9,sma_rs5_entry,-0.011749023598479513,-0.1322600671026251,-0.0763601990373467,0.3178294573643411,4,-0.1558022036621688,98825.09764015205
LIN,225.9,regime_rs5_entry,0.01704045572905044,0.2930081260675065,-0.0759905952754566,0.6124031007751938,2,-0.12701272433463884,101704.04557290504
PDD,129.3,buy_hold,-0.12252690268220268,-0.5165418675752302,-0.31602654473354064,0.9922480620155039,1,-0.26658008274589196,87747.30973177974
PDD,129.3,sma,0.02738209256644053,0.46995205023617737,-0.0901933345689856,0.2248062015503876,3,-0.11667108749724875,102738.20925664406
PDD,129.3,regime,-0.011140862662645468,-0.1192199051749891,-0.10059993286266877,0.15503875968992248,3,-0.15519404272633475,98885.91373373545
PDD,129.3,sma_rs5_entry,0.059271740784420546,1.266397425813513,-0.04662819670519225,0.12403100775193798,1,-0.08478143927926873,105927.17407844205
PDD,129.3,regime_rs5_entry,0.04776722279973633,1.0435476943031359,-0.047021082226309185,0.11627906976744186,1,-0.09628595726395295,104776.72227997363
SBUX,119.9,buy_hold,0.16222835527192925,1.1819399859950603,-0.14582355664808355,0.9922480620155039,1,0.01817517520823997,116222.83552719292
SBUX,119.9,sma,-0.08515976302422856,-0.7463432379670939,-0.11923252591322331,0.5116279069767442,6,-0.22921294308791784,91484.02369757714
SBUX,119.9,regime,-0.009692286477754442,-0.019852332127225494,-0.12022450202599633,0.46511627906976744,3,-0.15374546654144372,99030.77135222456
SBUX,119.9,sma_rs5_entry,-0.010530657939826105,-0.16744275670179803,-0.04782236734763201,0.1937984496124031,2,-0.15458383800351538,98946.9342060174
SBUX,119.9,regime_rs5_entry,0.012278901776821227,0.28860707419714393,-0.04782236734763201,0.20930232558139536,1,-0.13177427828686805,101227.89017768213
APP,112.8,buy_hold,-0.3169731855129897,-0.4438868125354456,-0.45537015140157056,0.9922480620155039,1,-0.461026365576679,68302.68144870103
APP,112.8,sma,-0.16734592852246144,-0.6387673154321505,-0.23631006021383627,0.3875968992248062,4,-0.3113991085861507,83265.40714775385
APP,112.8,regime,-0.12260672604819078,-0.39710687770275876,-0.3348473663410656,0.34108527131782945,4,-0.26665990611188006,87739.32739518092
APP,112.8,sma_rs5_entry,-0.15875353094002143,-0.6418449862589867,-0.23631006021383638,0.3023255813953488,4,-0.3028067110037107,84124.64690599786
APP,112.8,regime_rs5_entry,0.0035401651143778246,0.1963274335532157,-0.23630038873245818,0.24031007751937986,2,-0.14051301494931145,100354.01651143779
