,cash
2025-07-16,16387.926587500002
2025-07-17,13852.0728939
2025-07-18,11501.8157669
2025-07-21,6519.572309899999
2025-07-22,12481.9566702
2025-07-23,15119.4715712
2025-07-24,18475.996868799997
2025-07-25,14904.123359400002
2025-07-28,14904.123359400002
2025-07-29,14904.123359400002
2025-07-30,14904.123359400002
2025-07-31,14766.416956400004
2025-08-01,12200.734985300001
2025-08-04,12200.734985300001
2025-08-05,12200.734985300001
2025-08-06,14633.995175700002
2025-08-07,12078.841569200004
2025-08-08,15063.414153200003
2025-08-11,15063.414153200003
2025-08-12,10285.221741100004
2025-08-13,10285.221741100004
2025-08-14,14624.416370700004
2025-08-15,19798.577441500005
2025-08-18,19764.468911500004
2025-08-19,22283.450360700004
2025-08-20,14779.068863500006
2025-08-21,10134.980737000005
2025-08-22,11714.388554700006
2025-08-25,12137.403261000007
2025-08-26,9376.519911700005
2025-08-27,9450.025704300006
2025-08-28,14491.624491800005
2025-08-29,11992.465428200005
2025-09-02,6566.5347534000075
2025-09-03,11331.777515800008
2025-09-04,8637.721410500008
2025-09-05,13466.347161300007
2025-09-08,16099.598301300008
2025-09-09,16004.911743600009
2025-09-10,8481.399582800008
2025-09-11,10781.66498830001
2025-09-12,18274.02976240001
2025-09-15,15717.74899140001
2025-09-16,13414.66048480001
2025-09-17,11169.15319230001
2025-09-18,8632.189439400008
2025-09-19,13611.251041400008
2025-09-22,15882.930721400007
2025-09-23,18352.118130400006
2025-09-24,13401.650084400004
2025-09-25,6306.956090600004
2025-09-26,11008.624939900004
2025-09-29,6032.919330300004
2025-09-30,8285.841647300003
2025-10-01,8220.371543300003
2025-10-02,12975.893192300004
2025-10-03,8080.179544300004
2025-10-06,8080.179544300004
2025-10-07,8080.179544300004
2025-10-08,8080.179544300004
2025-10-09,8080.179544300004
2025-10-10,8080.179544300004
2025-10-13,17957.016094600003
2025-10-14,20318.275864600004
2025-10-15,7908.221369800002
2025-10-16,10609.381169800003
2025-10-17,13285.462425000005
2025-10-20,18594.318067200005
2025-10-21,8635.439739900006
2025-10-22,8683.594177600005
2025-10-23,6192.105329600006
2025-10-24,8583.487078300006
2025-10-27,13470.877692900007
2025-10-28,15991.906531300006
2025-10-29,15687.927968900003
2025-10-30,20649.312627200008
2025-10-31,18499.87455590001
2025-11-03,11021.87408110001
2025-11-04,11021.87408110001
2025-11-05,11113.79999710001
2025-11-06,13344.79788710001
2025-11-07,17880.294611100013
2025-11-10,15290.159052400006
2025-11-11,12894.639786000007
2025-11-12,12894.639786000007
2025-11-13,12894.639786000007
2025-11-14,12894.639786000007
2025-11-17,12946.549555600004
2025-11-18,53748.59007510001
2025-11-19,53748.59007510001
2025-11-20,53748.59007510001
2025-11-21,53748.59007510001
2025-11-24,53748.59007510001
2025-11-25,53748.59007510001
2025-11-26,39018.50933850001
2025-11-28,41406.93098810001
2025-12-01,29249.305468500002
2025-12-02,16929.886508800002
2025-12-03,19382.535886100002
2025-12-04,7169.857557700006
2025-12-05,9154.084511100005
2025-12-08,9248.659723300007
2025-12-09,11654.483155300008
2025-12-10,6903.531888500006
2025-12-11,9095.853388500007
2025-12-12,6665.284053500006
2025-12-15,6665.284053500006
2025-12-16,56138.643057400004
2025-12-17,56138.643057400004
2025-12-18,56138.643057400004
2025-12-19,56138.643057400004
2025-12-22,51425.9722878
2025-12-23,53748.428739200004
2025-12-24,53748.428739200004
2025-12-26,48980.8925212
2025-12-29,29838.6160108
2025-12-30,29838.6160108
2025-12-31,29838.6160108
2026-01-02,56061.038254800005
2026-01-05,56061.038254800005
2026-01-06,51157.89236880001
2026-01-07,48500.56604530001
2026-01-08,43985.569095300016
2026-01-09,34178.26109230002
2026-01-12,31753.445430300017
2026-01-13,12121.041101100018
2026-01-14,16685.35617970002
2026-01-15,14577.664434700016
2026-01-16,9653.835344700015
2026-01-20,9653.835344700015
2026-01-21,56137.191745500015
2026-01-22,56137.191745500015
2026-01-23,26527.745548000006
2026-01-26,31447.846818200003
2026-01-27,28892.308767500006
2026-01-28,21372.734966100004
2026-01-29,26247.770742900004
2026-01-30,23814.0135397
2026-02-02,23814.0135397
2026-02-03,23814.0135397
2026-02-04,57832.656289000006
2026-02-05,57832.656289000006
2026-02-06,57832.656289000006
2026-02-09,57832.656289000006
2026-02-10,57832.656289000006
2026-02-11,57832.656289000006
2026-02-12,57832.656289000006
2026-02-13,57832.656289000006
2026-02-17,57832.656289000006
2026-02-18,57832.656289000006
2026-02-19,57832.656289000006
2026-02-20,57832.656289000006
2026-02-23,57832.656289000006
2026-02-24,57832.656289000006
2026-02-25,57832.656289000006
2026-02-26,57832.656289000006
2026-02-27,57832.656289000006
2026-03-02,57832.656289000006
2026-03-03,57832.656289000006
2026-03-04,57832.656289000006
2026-03-05,57832.656289000006
2026-03-06,57832.656289000006
2026-03-09,57832.656289000006
2026-03-10,57832.656289000006
2026-03-11,57832.656289000006
2026-03-12,57832.656289000006
2026-03-13,57832.656289000006
2026-03-16,57832.656289000006
2026-03-17,57832.656289000006
2026-03-18,57832.656289000006
2026-03-19,57832.656289000006
2026-03-20,57832.656289000006
2026-03-23,57832.656289000006
2026-03-24,57832.656289000006
2026-03-25,57832.656289000006
2026-03-26,57832.656289000006
2026-03-27,57832.656289000006
2026-03-30,57832.656289000006
2026-03-31,57832.656289000006
2026-04-01,57832.656289000006
2026-04-02,57832.656289000006
2026-04-06,57832.656289000006
2026-04-07,57832.656289000006
2026-04-08,57832.656289000006
2026-04-09,52874.009757800006
2026-04-10,39453.7887425
2026-04-13,38587.01643340001
2026-04-14,41034.79626840001
2026-04-15,36123.658988400006
2026-04-16,38726.30135160001
2026-04-17,36607.29762190001
2026-04-20,31699.47533790001
2026-04-21,31699.47533790001
2026-04-22,31699.47533790001
2026-04-23,26808.07396790001
2026-04-24,25605.39059470001
2026-04-27,20632.52978970001
2026-04-28,20632.52978970001
2026-04-29,22832.49499320001
2026-04-30,15305.097374500008
2026-05-01,25135.21502590001
2026-05-04,22801.474295400007
2026-05-05,25194.192646600008
