window,strategy,month,pnl_usd
primary_2025_to_now,CoreSat_SoftVol,2026-03,-1753.5831877527744
primary_2025_to_now,CoreSat_SoftVol,2026-04,5060.879788525221
primary_2025_to_now,CoreSat_SoftVol,2026-05,5894.938349233911
primary_2025_to_now,CoreSat_SoftVol,2026-06,-965.9601858553942
primary_2025_to_now,CoreSat_SoftVol,2026-07,-1562.9871533599435
primary_2025_to_now,CoreSat_SoftVol,2026-08,1057.892965904175
secondary_2020_to_now,QQQ_buy_hold,2020-01,692.2395304279707
secondary_2020_to_now,QQQ_buy_hold,2020-02,-3035.434794115332
secondary_2020_to_now,QQQ_buy_hold,2020-03,-3810.800056485743
secondary_2020_to_now,QQQ_buy_hold,2020-04,6494.291690048354
secondary_2020_to_now,QQQ_buy_hold,2020-05,3357.3184049494594
secondary_2020_to_now,QQQ_buy_hold,2020-06,3385.773853234743
secondary_2020_to_now,QQQ_buy_hold,2020-07,4224.147842752842
secondary_2020_to_now,QQQ_buy_hold,2020-08,6695.890371805304
secondary_2020_to_now,QQQ_buy_hold,2020-09,-3936.987273980274
secondary_2020_to_now,QQQ_buy_hold,2020-10,-2000.8288573956452
secondary_2020_to_now,QQQ_buy_hold,2020-11,6944.9956626737985
secondary_2020_to_now,QQQ_buy_hold,2020-12,3392.3890196922875
secondary_2020_to_now,QQQ_buy_hold,2021-01,153.80001919710776
secondary_2020_to_now,QQQ_buy_hold,2021-02,-92.48306790229981
secondary_2020_to_now,QQQ_buy_hold,2021-03,1199.1907068492874
secondary_2020_to_now,QQQ_buy_hold,2021-04,4342.8818347109045
secondary_2020_to_now,QQQ_buy_hold,2021-05,-916.4004368096212
secondary_2020_to_now,QQQ_buy_hold,2021-06,4826.8300926845695
secondary_2020_to_now,QQQ_buy_hold,2021-07,2362.371186916702
secondary_2020_to_now,QQQ_buy_hold,2021-08,3553.6849008802965
secondary_2020_to_now,QQQ_buy_hold,2021-09,-4994.291002218248
secondary_2020_to_now,QQQ_buy_hold,2021-10,6521.151939552743
secondary_2020_to_now,QQQ_buy_hold,2021-11,1771.3976723982923
secondary_2020_to_now,QQQ_buy_hold,2021-12,1068.0627929016919
secondary_2020_to_now,QQQ_buy_hold,2022-01,-7963.430302897352
secondary_2020_to_now,QQQ_buy_hold,2022-02,-3625.75212363874
secondary_2020_to_now,QQQ_buy_hold,2022-03,3720.3671277822286
secondary_2020_to_now,QQQ_buy_hold,2022-04,-11502.573948755278
secondary_2020_to_now,QQQ_buy_hold,2022-05,-1272.8301969092718
secondary_2020_to_now,QQQ_buy_hold,2022-06,-6459.275932624958
secondary_2020_to_now,QQQ_buy_hold,2022-07,8185.596686403973
secondary_2020_to_now,QQQ_buy_hold,2022-08,-3770.6106688533037
secondary_2020_to_now,QQQ_buy_hold,2022-09,-7359.2172174738735
secondary_2020_to_now,QQQ_buy_hold,2022-10,2585.584500956582
secondary_2020_to_now,QQQ_buy_hold,2022-11,3546.352981674143
secondary_2020_to_now,QQQ_buy_hold,2022-12,-6116.529505625338
secondary_2020_to_now,QQQ_buy_hold,2023-01,6625.53027379165
secondary_2020_to_now,QQQ_buy_hold,2023-02,-239.42996166802186
secondary_2020_to_now,QQQ_buy_hold,2023-03,6520.714376714852
secondary_2020_to_now,QQQ_buy_hold,2023-04,391.10477320889186
secondary_2020_to_now,QQQ_buy_hold,2023-05,5932.990666298254
secondary_2020_to_now,QQQ_buy_hold,2023-06,5134.762465074411
secondary_2020_to_now,QQQ_buy_hold,2023-07,3346.214674838033
secondary_2020_to_now,QQQ_buy_hold,2023-08,-1296.6257531866868
