datetime,QQQ_buy_hold,S12_full,CoreSat_SoftVol
2025-07-29,55885.510164628606,53671.9462487253,53844.83598083795
2025-07-30,55960.40866610245,53743.8781024987,53916.99954372194
2025-07-31,55674.52572410338,53469.318671061104,53641.555692957896
2025-08-01,54572.40542821913,52410.852154318665,52579.67961115736
2025-08-04,55574.755635123285,53373.500366151726,53545.42873516326
2025-08-05,55198.57714248935,53012.221892051755,53182.98649967638
2025-08-06,55892.24566132426,53678.414959765854,53851.32552909042
2025-08-07,56083.216198476715,53861.821362873605,54035.32272657248
2025-08-08,56605.522111624676,54363.439310232185,54538.55650116676
2025-08-11,56438.06944204436,54202.61925769183,54377.21841010264
2025-08-12,57145.499474942095,54882.02876095254,55058.81644825398
2025-08-13,57175.17488279534,54910.528758367174,55087.408250741144
2025-08-14,57131.40863256013,54868.49604142119,55045.24013670822
2025-08-15,56880.14184349143,54627.18165496827,54803.148420895275
2025-08-18,56857.580580736,54605.51401914736,54781.410988616175
2025-08-19,56085.29553650796,53863.81834060032,54037.32613702558
2025-08-20,55751.89570128011,53543.62410808872,53716.10048495585
2025-08-21,55493.482397196334,53295.44627226181,53467.12321101367
2025-08-22,56347.83433799666,54115.958267393464,54290.278264743865
2025-08-25,56185.26847070076,53959.831456245454,54133.64853308632
2025-08-26,56411.09489968803,54176.71314744665,54351.22885029445
2025-08-27,56498.1299048562,54260.300791281035,54435.085749230624
2025-08-28,56851.48372886504,54599.658656908745,54775.53676490374
2025-08-29,56191.63423377043,53965.94507840443,54139.78184863395
2025-09-02,55727.62039446958,53520.31031962249,53692.71159739365
2025-09-03,56165.528998261536,53940.87384271353,54114.62985270376
2025-09-04,56673.38576296061,54428.61495658515,54603.94209332615
2025-09-05,56759.117526498456,54510.950978764384,54686.543338844815
2025-09-08,57035.79956869348,54776.67394797291,54953.12226309454
2025-09-09,57197.26793683598,54931.746730708255,55108.694571070526
2025-09-10,57217.645631009276,54951.31728670964,55128.328168351756
2025-09-11,57550.321060083574,55270.8158060029,55448.855866150225
2025-09-12,57804.275965018816,55514.711834993825,55693.53754056791
2025-09-15,58297.93381681364,55988.816439366965,56169.16934534596
2025-09-16,58248.882513553304,55941.70800456404,56121.90916339684
2025-09-17,58132.61139118213,55830.0422541432,56009.88371180946
2025-09-18,58656.45616425526,56333.138108868916,56514.60015445176
2025-09-19,59052.847175853116,56713.828506170226,56896.51684342698
2025-09-22,59403.12457478665,57050.23180055409,57234.00377050002
2025-09-23,59008.669569136815,56671.4007261233,56853.952393703636
2025-09-24,58802.30293846401,56473.20805191539,56655.12129512797
2025-09-25,58549.65307333466,56230.56537153144,56411.69700664251
2025-09-26,58790.12720592117,56461.51458681766,56643.390162679054
2025-09-29,59062.585348004446,56723.180959976715,56905.89942364671
2025-09-30,59224.46163927774,56878.64550845393,57061.86475933248
2025-10-01,59511.77668622524,57154.58032072977,57338.68842135403
2025-10-02,59757.26034819071,57390.340643416974,57575.208182479386
2025-10-03,59506.11785044691,57149.14562524557,57333.23621946077
2025-10-06,59953.65029488848,57578.951799187074,57764.42689833393
2025-10-07,59638.91727598893,57276.6850108315,57461.18643885745
2025-10-08,60321.717913042114,57932.44066167118,58119.05443006725
2025-10-09,60248.7183292378,57862.33251151593,58048.72044537187
2025-10-10,58159.70655278258,55856.064206036215,56035.989486418155
2025-10-13,59390.02763027532,57037.65361168609,57187.42561181972
2025-10-14,58997.42064557858,56660.59736012029,56839.72871133935
2025-10-15,59415.5090094408,57062.125701300814,57208.239497626564
2025-10-16,59197.910095438536,56853.145642217394,57016.55868731448
2025-10-17,59588.66226697589,57228.42054774379,57360.87625261486
2025-10-20,60337.228801421814,57947.33718073188,58020.119516274906
2025-10-21,60321.45212994475,57932.18540595151,58006.240081080585
2025-10-22,59739.83387960029,57373.60441818192,57494.553408458836
2025-10-23,60242.57379192555,57856.43135260415,57924.221495839476
2025-10-24,60884.89900426262,58473.31476601847,58474.27140493774
2025-10-27,61965.02675579773,59510.65983903242,59398.16252838861
2025-10-28,62440.61673093511,59967.41221557532,59785.41481530691
2025-10-29,62721.7116850337,60237.37330607489,60014.92820167735
2025-10-30,61759.34891136544,59313.12866899562,59229.6797071336
2025-10-31,62063.70775826974,59605.43219495878,59468.30063507251
2025-11-03,62363.51955345998,59893.36877295157,59704.50211056374
2025-11-04,61092.05117737636,58672.26186819065,58703.65415317972
2025-11-05,61490.20982554191,59054.64988790908,59005.393173598175
2025-11-06,60342.42288585382,57952.32553316214,58132.82530097438
2025-11-07,60152.80411376092,57770.21735317883,57988.10407845264
2025-11-10,61477.32448098805,59042.274917755756,59110.37525729493
2025-11-11,61314.00255050775,58885.42199025891,58972.05870558677
2025-11-12,61267.61389570631,58840.87073932249,58932.759905419276
2025-11-13,60011.60303561033,57634.6090952523,57868.61664550964
2025-11-14,60070.518970649035,57691.19143456128,57914.66015660956
2025-11-17,59556.388261471315,57197.424880287785,57499.16829988594
2025-11-18,58829.04642429151,56498.892257528045,56910.5501863459
2025-11-19,59179.902516044815,56835.8513233422,57195.05645491472
2025-11-20,57828.197223454656,56817.306250421265,56482.37785089988
2025-11-21,58261.85876263844,56817.306250421265,56695.03420700994
2025-11-24,59743.26646158952,56817.306250421265,57423.679428318195
2025-11-25,60112.95626677601,56817.306250421265,57594.41587239835
2025-11-26,60643.07167464185,56817.306250421265,57840.181749387055
2025-11-28,61133.794214065274,56817.306250421265,58066.65834550112
2025-12-01,60931.64464776475,56817.306250421265,57973.74947895054
2025-12-02,61407.57312778986,56817.306250421265,58192.86293451457
2025-12-03,61559.12134762786,56817.306250421265,58262.355363836636
2025-12-04,61502.30299197134,56817.306250421265,58233.06907850854
2025-12-05,61752.81894892327,56817.306250421265,58355.9328296499
2025-12-08,61635.143906322744,56690.50376489063,58254.07684866286
2025-12-09,61711.571919477596,56760.800389395685,58315.814272737676
2025-12-10,61965.04004668595,56993.934197627306,58531.93982692454
2025-12-11,61765.67316725509,56810.56139904753,58360.591654062475
2025-12-12,60580.118451614384,55720.11705494633,57341.35650266353
2025-12-15,60281.98141964337,55445.89787637032,57084.592550389265
2025-12-16,60402.740085970676,55556.96875564783,57188.63965004226
2025-12-17,59285.720564462776,54529.56141340579,56226.37579532617
2025-12-18,60145.831565269335,55320.67055729873,56968.58233117802
2025-12-19,60927.52307835199,56039.65136689571,57614.88211131809
2025-12-22,61221.30939355947,56309.86886218795,57875.40368623978
2025-12-23,61508.6599907342,56291.487476827926,58045.455507596445
