scheme_id,scheme,note,n_runs,mean_ret,std_ret,p10_ret,p50_ret,p90_ret,mean_sharpe,mean_mdd,mean_vs_bench,pct_beat_bench,pct_positive,pct_runs_pos,mean_months,pct_universe_qqq,mean_exposure,mean_trades
21,S21_rs10,rs10,100,0.06725316243201519,0.06820430090183996,-0.009922468303892058,0.053354980899317644,0.15746403947537144,0.42555537583842457,-0.07904753031665526,-0.16763868229422457,0.23816091954022986,0.38695402298850573,0.84,3.27,0.43,0.2434757343550447,1.8534137931034482
16,S16_rs_win15,rs_win15,100,0.06399903739322756,0.07609395370404291,-0.014624221100309987,0.04062752196840902,0.155840248046872,0.35388995156659525,-0.09353593009947567,-0.12072222126023563,0.3069770114942529,0.4400919540229885,0.81,3.38,0.51,0.30975275950460146,2.4456781609195404
25,S25_ma_8_40,ma_8_40,100,0.06337175518101434,0.08236351943480645,-0.008162856365557523,0.03405443791121722,0.21037980309828586,0.3475643557085332,-0.09274049526588618,-0.10056213200006837,0.30794252873563216,0.45228735632183903,0.8,3.33,0.56,0.324918230798229,2.532896551724138
26,S26_ma_12_26,ma_12_26,100,0.06119356580862413,0.08363197928629178,-0.014323275962310412,0.029760262256740836,0.19147071324201664,0.2757024300079341,-0.09809718962480612,-0.15251774830006568,0.24972413793103448,0.46103448275862063,0.78,3.67,0.59,0.2957110928662653,3.1054712643678157
15,S15_rs_win10,rs_win10,100,0.05987165793258589,0.07795736474066106,-0.011147092436813808,0.03636511317588602,0.14925711699947034,0.29175734374684836,-0.09296062086850387,-0.10859674337017465,0.32131034482758625,0.44190804597701144,0.78,3.56,0.59,0.3020824341230745,2.4746206896551723
2,S02_fast_ma,fast_ma,100,0.05464160407202907,0.06798313379146922,-0.007023400680527029,0.033604031575680086,0.1716900338256892,0.15584228137936162,-0.08128669961415526,-0.15081782122245183,0.26409195402298846,0.42157471264367813,0.8,3.28,0.52,0.24752099981755155,3.0050229885057473
9,S09_vol_lb15,vol_lb15,100,0.053033394079360335,0.079263821511025,-0.019347692506857906,0.024941041744581824,0.172701028781387,0.21150027086912826,-0.10034755883851408,-0.16353450039136536,0.2734712643678161,0.4494137931034483,0.69,3.55,0.5,0.30585416987309205,3.048091954022988
11,S11_vol_easy,vol_easy,100,0.05046359288513372,0.06294662827163353,-0.011622632263802892,0.02605425365888352,0.1493617909862152,0.26118323586748415,-0.06930507616981153,-0.1986321860910678,0.2537241379310345,0.4058735632183908,0.74,3.45,0.49,0.21957484035759897,2.4439310344827585
30,S30_short_horizon,short_horizon,100,0.040566208015711085,0.0498461325141174,-0.015435104927511809,0.02796510054506126,0.10749787421811702,0.09654512597008937,-0.10269980199752149,-0.21247282567826378,0.20611494252873563,0.4281609195402299,0.8,3.67,0.51,0.2717350907795005,3.9101264367816095
8,S08_vol_lb10,vol_lb10,100,0.04014229204219438,0.07063709471458875,-0.021857935725703482,0.015074630635977474,0.150711582321714,0.07064414007475472,-0.08923823085598954,-0.15362442645917618,0.278448275862069,0.39390804597701146,0.65,3.26,0.54,0.2671302955665025,3.1134137931034487
