run,n_full_trades,pct_lose_money,pct_lose_vs_bench,mean_trade_ret
76,55,0.5454545454545454,0.5454545454545454,0.02769990179521494
77,38,0.2631578947368421,0.39473684210526316,0.13374397478200994
78,39,0.6666666666666666,0.6153846153846154,-0.014219024964968296
79,14,0.35714285714285715,0.21428571428571427,0.04119254745164112
80,5,0.4,0.4,0.012965049563523822
81,37,0.1891891891891892,0.4864864864864865,0.1298523237606255
82,28,0.2857142857142857,0.5714285714285714,0.12606056557643472
83,20,0.35,0.6,0.058162500314080746
84,2,0.0,0.0,0.12453019137224541
85,45,0.3333333333333333,0.5555555555555556,0.07623145242158472
86,33,0.5454545454545454,0.6363636363636364,-0.00752565450335911
87,12,0.3333333333333333,0.4166666666666667,0.031397809647159804
88,43,0.5116279069767442,0.5348837209302325,0.005088982116507471
89,11,0.18181818181818182,0.6363636363636364,0.04802552940983987
90,25,0.36,0.44,0.07079746462674365
91,44,0.6590909090909091,0.6590909090909091,-0.010384336735362721
92,25,0.64,0.68,-0.02372236742581695
93,51,0.49019607843137253,0.5098039215686274,0.01992775848975419
94,27,0.37037037037037035,0.48148148148148145,0.038975028520966744
95,27,0.4074074074074074,0.4074074074074074,0.02664507157563835
96,17,0.47058823529411764,0.4117647058823529,-0.005396866833631007
97,18,0.2222222222222222,0.5,0.11965628605079531
98,17,0.23529411764705882,0.5294117647058824,0.09038896416886479
99,10,0.2,0.3,0.028318608454388116
