,equity
2025-07-17,49542.89790840002
2025-07-18,49077.01745140001
2025-07-21,49287.65345140001
2025-07-22,49284.90349540001
2025-07-23,49448.063495400005
2025-07-24,48967.60714100001
2025-07-25,49338.88697080001
2025-07-28,49673.04697080002
2025-07-29,50504.41597080001
2025-07-30,50570.133970800016
2025-07-31,50056.40397080002
2025-08-01,48920.04797080002
2025-08-04,49359.432970800015
2025-08-05,49353.48497080001
2025-08-06,49126.33697080001
2025-08-07,48630.49297080001
2025-08-08,48733.57097080001
2025-08-11,48294.12397080001
2025-08-12,48366.244970800006
2025-08-13,48377.72997080001
2025-08-14,48589.38797080002
2025-08-15,48380.076970800015
2025-08-18,48666.93997080001
2025-08-19,48345.51297080002
2025-08-20,48234.599970800016
2025-08-21,48494.251204200016
2025-08-22,48515.32865970002
2025-08-25,48443.48256120002
2025-08-26,48889.83862430002
2025-08-27,48909.150562800016
2025-08-28,48569.90695080002
2025-08-29,47713.27017120001
2025-09-02,47124.65517120002
2025-09-03,46842.47117120001
2025-09-04,47429.54746720001
2025-09-05,48336.15426900002
2025-09-08,48016.47426900001
2025-09-09,48192.72209110002
2025-09-10,48645.36309110002
2025-09-11,51965.25709110002
2025-09-12,54222.05009110001
2025-09-15,55731.62709110002
2025-09-16,56842.30009110001
2025-09-17,57462.06309110002
2025-09-18,57784.638091100016
2025-09-19,58580.41509110002
2025-09-22,60326.966091100025
2025-09-23,59665.59709110002
2025-09-24,60148.68409110002
2025-09-25,58710.115091100015
2025-09-26,59978.81409110002
2025-09-29,60788.884091100015
2025-09-30,61516.40409110002
2025-10-01,64535.52309110001
2025-10-02,63771.509091100015
2025-10-03,63067.37309110002
2025-10-06,65489.10109110002
2025-10-07,62099.63209110002
2025-10-08,62985.05409110001
2025-10-09,62419.240091100015
2025-10-10,58710.70309110002
2025-10-13,60085.13681150001
2025-10-14,58829.75818150001
2025-10-15,58931.9684635
2025-10-16,58935.4984635
2025-10-17,59187.1584635
2025-10-20,59621.9484635
2025-10-21,59899.0884635
2025-10-22,59680.7184635
2025-10-23,60286.9484635
2025-10-24,60627.7484635
2025-10-27,61069.14846350001
2025-10-28,60864.03846350001
2025-10-29,59576.4684635
2025-10-30,59785.5438935
2025-10-31,60383.913893499994
2025-11-03,61649.6736475
2025-11-04,59391.2836475
2025-11-05,58523.303647500004
2025-11-06,57511.33050250001
2025-11-07,57587.16750250001
2025-11-10,57940.92196430001
2025-11-11,58158.72796430001
2025-11-12,57570.719964300006
2025-11-13,56869.115964300014
2025-11-14,56357.00196430001
2025-11-17,55865.13581470002
2025-11-18,55343.89346950001
2025-11-19,55343.89346950001
2025-11-20,55343.89346950001
2025-11-21,55343.89346950001
2025-11-24,55343.89346950001
2025-11-25,55343.89346950001
2025-11-26,56137.004987100016
2025-11-28,57269.927987100025
2025-12-01,57412.50998710002
2025-12-02,58944.50998710002
2025-12-03,60151.44298710002
2025-12-04,59686.534987100014
2025-12-05,61069.648987100016
2025-12-08,61658.19998710002
2025-12-09,61405.64598710002
2025-12-10,62257.72298710002
2025-12-11,62116.729987100014
2025-12-12,60815.42198710002
2025-12-15,59845.69598710002
2025-12-16,59654.61395760003
2025-12-17,59654.61395760003
2025-12-18,59654.61395760003
2025-12-19,59654.61395760003
2025-12-22,59355.721917200026
2025-12-23,59311.08791610003
2025-12-24,59401.64791610003
2025-12-26,59949.435938100025
2025-12-29,59893.09793810002
2025-12-30,60065.647938100024
2025-12-31,59799.079938100025
2026-01-02,59987.17592360002
2026-01-05,59987.17592360002
2026-01-06,59041.04686760002
2026-01-07,58535.124112600024
2026-01-08,58817.62359660002
2026-01-09,58820.653596600016
2026-01-12,59327.46395860001
2026-01-13,58557.52395860002
2026-01-14,57815.77088760002
2026-01-15,57816.42887760002
2026-01-16,58019.70887760002
2026-01-20,57617.488877600015
2026-01-21,57804.99693060002
2026-01-22,57804.99693060002
2026-01-23,58177.14605550002
2026-01-26,58544.94405550002
2026-01-27,58011.67605550002
2026-01-28,57951.254055500016
2026-01-29,58029.73405550001
2026-01-30,58357.76205550002
2026-02-02,58118.658055500026
2026-02-03,58035.17205550002
2026-02-04,58367.76550030002
2026-02-05,58367.76550030002
2026-02-06,58367.76550030002
2026-02-09,58367.76550030002
2026-02-10,58367.76550030002
2026-02-11,58367.76550030002
2026-02-12,58367.76550030002
2026-02-13,58367.76550030002
2026-02-17,58367.76550030002
2026-02-18,58367.76550030002
2026-02-19,58367.76550030002
2026-02-20,58367.76550030002
2026-02-23,58367.76550030002
2026-02-24,58367.76550030002
2026-02-25,58367.76550030002
2026-02-26,58367.76550030002
2026-02-27,58367.76550030002
2026-03-02,58367.76550030002
2026-03-03,58367.76550030002
2026-03-04,58367.76550030002
2026-03-05,58367.76550030002
2026-03-06,58367.76550030002
2026-03-09,58367.76550030002
2026-03-10,58367.76550030002
2026-03-11,58367.76550030002
2026-03-12,58367.76550030002
2026-03-13,58367.76550030002
2026-03-16,58367.76550030002
2026-03-17,58367.76550030002
2026-03-18,58367.76550030002
2026-03-19,58367.76550030002
2026-03-20,58367.76550030002
2026-03-23,58367.76550030002
2026-03-24,58367.76550030002
2026-03-25,58367.76550030002
2026-03-26,58367.76550030002
2026-03-27,58367.76550030002
2026-03-30,58367.76550030002
2026-03-31,58367.76550030002
2026-04-01,58367.76550030002
2026-04-02,58367.76550030002
2026-04-06,58367.76550030002
2026-04-07,58367.76550030002
2026-04-08,58367.76550030002
2026-04-09,59283.99284430002
2026-04-10,59275.384138200025
2026-04-13,59974.605138200015
2026-04-14,61523.16513820003
2026-04-15,62108.78413820002
2026-04-16,62216.118954200014
2026-04-17,62935.90048380002
2026-04-20,62050.63648380002
2026-04-21,62155.48848380002
2026-04-22,62966.48848380002
2026-04-23,62375.672483800015
2026-04-24,63656.77796340002
2026-04-27,63405.64396340001
2026-04-28,63118.52996340001
2026-04-29,63446.00596340002
2026-04-30,62639.34396340001
2026-05-01,63035.98762360001
2026-05-04,63246.826599000015
2026-05-05,63377.563618200016
2026-05-06,62764.75383680001
2026-05-07,63319.16383680001
2026-05-08,63275.05383680001
2026-05-11,61737.85155930001
2026-05-12,61044.934762300014
2026-05-13,59385.87476230001
2026-05-14,59303.89403530001
2026-05-15,60343.44103530001
2026-05-18,62208.98103530001
2026-05-19,61952.9610353
2026-05-20,61657.921035299994
2026-05-21,60552.681035300004
2026-05-22,61388.011035300005
2026-05-26,60049.53103530001
2026-05-27,59533.2410353
2026-05-28,61350.530706800004
2026-05-29,61217.95500180001
2026-06-01,61959.805001800014
2026-06-02,63463.80500180001
2026-06-03,64285.405001800005
2026-06-04,64191.555001800014
2026-06-05,61806.50500180001
2026-06-08,63647.10500180001
2026-06-09,64521.50500180001
2026-06-10,64707.905001800005
2026-06-11,68005.35500180001
2026-06-12,69040.90500180001
2026-06-15,70176.0550018
2026-06-16,69129.60500180001
2026-06-17,70113.4550018
2026-06-18,71351.10500180002
2026-06-22,73107.15500180001
2026-06-23,70314.9550018
2026-06-24,70777.8050018
2026-06-25,75452.15500180001
2026-06-26,73347.85500180001
2026-06-29,77442.25500179999
2026-06-30,78561.25500180002
2026-07-01,74953.0050018
2026-07-02,72392.65500180001
2026-07-06,73672.76704430001
2026-07-07,73004.1990583
2026-07-08,72619.5053203
2026-07-09,72619.5053203
2026-07-10,72828.7031498
2026-07-13,72360.9231498
2026-07-14,71888.92356580001
2026-07-15,71888.92356580001
2026-07-16,72998.15608880001
2026-07-17,73010.81504930001
2026-07-20,73010.81504930001
2026-07-21,73010.81504930001
2026-07-22,73010.81504930001
2026-07-23,73010.81504930001
2026-07-24,73010.81504930001
2026-07-27,73010.81504930001
2026-07-28,73010.81504930001
2026-07-29,73010.81504930001
2026-07-30,73010.81504930001
2026-07-31,73010.81504930001
2026-08-03,73010.81504930001
2026-08-04,73010.81504930001
2026-08-05,71892.39744530001
2026-08-06,71709.39104210002
2026-08-07,71676.7010421
