scheme,scheme_id,note,run,universe,months,eval_days,win_start,win_end,n_names,bench_ret,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_bench,pct_positive,pct_beat_bench,mean_trades,mean_exposure
D13_dip08_w20,13,dip08_w20,19,QQQ,2,42,2026-01-20,2026-03-19,30,-0.024734412068352585,0.0071724095358666196,5.828848568878442e-05,0.01806625207830743,-0.05454670942022711,0.031906821604219204,0.5,0.8,2.8,0.33730158730158727
D13_dip08_w20,13,dip08_w20,20,QQQ,2,42,2025-12-30,2026-03-02,30,-0.01830706738570409,0.0148349494419322,-0.0014054181420982692,0.18790924047609714,-0.06130007332064018,0.03314201682763629,0.4666666666666667,0.6333333333333333,2.6666666666666665,0.43984126984126976
D13_dip08_w20,13,dip08_w20,21,QQQ,8,168,2024-02-14,2024-10-14,30,0.15334174114524046,0.019892226865420647,0.019544432938088274,0.17641699949081718,-0.14199489390498804,-0.13344951427981983,0.6333333333333333,0.13333333333333333,7.066666666666666,0.39964285714285713
D13_dip08_w20,13,dip08_w20,22,QQQ,4,84,2025-10-15,2026-02-13,30,0.0007896560047677692,0.035245594205660855,0.02156725211733934,0.34123919071511366,-0.07870024401470316,0.034455938200893085,0.6333333333333333,0.6333333333333333,4.7,0.3834126984126984
D13_dip08_w20,13,dip08_w20,23,QQQ,3,63,2026-01-08,2026-04-09,30,-0.0153279984002892,-0.006326400068743821,-0.0005872371456074332,-0.26077532902216755,-0.08021932795340242,0.00900159833154538,0.4,0.6333333333333333,4.066666666666666,0.2829629629629629
D13_dip08_w20,13,dip08_w20,24,SOXX,5,105,2026-02-10,2026-07-13,30,0.5770255442312711,0.17380299190052703,0.061680468152574996,1.0229186512205497,-0.09478624076558109,-0.403222552330744,0.7,0.13333333333333333,4.866666666666666,0.24273015873015877
D13_dip08_w20,13,dip08_w20,25,QQQ,5,105,2026-01-14,2026-06-15,30,0.20238584863226716,0.07992447736441143,0.04118274191892013,0.47212020962475887,-0.09156219594396574,-0.12246137126785574,0.6666666666666666,0.13333333333333333,5.633333333333334,0.2735873015873016
D13_dip08_w20,13,dip08_w20,26,QQQ,12,252,2025-01-16,2026-01-16,30,0.2169851270630765,0.10182894483160364,-0.021657317571032675,0.12977696452928486,-0.16123038254322394,-0.11515618223147285,0.4666666666666667,0.2,11.433333333333334,0.3714550264550265
D13_dip08_w20,13,dip08_w20,27,SOXX,4,84,2026-03-20,2026-07-21,30,0.6629647609934404,0.158131420988666,0.09431247871228443,1.8323295280160328,-0.0852809344678285,-0.5048333400047744,0.9,0.03333333333333333,3.566666666666667,0.24650793650793648
D13_dip08_w20,13,dip08_w20,28,SOXX,10,210,2023-09-12,2024-07-12,30,0.6054235196262121,0.21416838720575282,0.1226338506208382,0.8933138998272326,-0.14399542474710597,-0.3912551324204593,0.7666666666666667,0.1,9.233333333333333,0.4162857142857143
D13_dip08_w20,13,dip08_w20,29,QQQ,10,210,2023-11-02,2024-09-04,29,0.27426335783759614,0.07942473680140263,0.06862553592156351,0.5410612742150305,-0.15427518480923466,-0.1948386210361935,0.6551724137931034,0.13793103448275862,8.689655172413794,0.4537931034482759
D13_dip08_w20,13,dip08_w20,30,SOXX,11,231,2025-02-26,2026-01-27,30,0.6222676159829015,0.209392715812584,0.09334073934378839,0.7407470047109422,-0.19374091689461934,-0.41287490017031747,0.7333333333333333,0.13333333333333333,10.166666666666666,0.3798556998556999
D13_dip08_w20,13,dip08_w20,31,SOXX,4,84,2024-11-26,2025-03-31,30,-0.12412361759187396,-0.038372411900113056,-0.0188397240765949,-0.6499908899194293,-0.11464904741757893,0.0857512056917609,0.26666666666666666,0.8,4.3,0.2624603174603175
D13_dip08_w20,13,dip08_w20,32,SOXX,3,63,2024-07-29,2024-10-24,29,-0.004528634488460304,-0.025406874502339402,-0.023487714618629196,-1.1566613355735575,-0.06550783113486236,-0.0208782400138791,0.1724137931034483,0.27586206896551724,3.2413793103448274,0.1552271483305966
D13_dip08_w20,13,dip08_w20,33,SOXX,7,147,2025-09-16,2026-04-16,29,0.5731892331920965,0.3012558986597948,0.20669456083637683,1.3624682579463925,-0.1645210389288647,-0.2719333345323017,0.896551724137931,0.10344827586206896,8.344827586206897,0.41773399014778323
D13_dip08_w20,13,dip08_w20,34,QQQ,4,84,2024-05-31,2024-09-30,30,0.08613665447903895,0.006548706659798638,-0.007169025547842711,0.2543820314469175,-0.11180180517226714,-0.07958794781924032,0.4666666666666667,0.2,4.333333333333333,0.4219841269841271
D13_dip08_w20,13,dip08_w20,35,QQQ,9,189,2025-02-11,2025-11-10,30,0.1848421423831519,0.058529887058835106,0.01274882563173052,0.040888011595914604,-0.13757431072250406,-0.12631225532431678,0.5333333333333333,0.2,8.366666666666667,0.38084656084656093
D13_dip08_w20,13,dip08_w20,36,QQQ,3,63,2025-01-14,2025-04-14,30,-0.0928917402537448,-0.025145186841796403,-0.01989094175633821,-0.6429644193334298,-0.11156018614559625,0.06774655341194841,0.26666666666666666,0.8333333333333334,4.7,0.3173544973544974
D13_dip08_w20,13,dip08_w20,37,SOXX,10,210,2024-08-26,2025-06-27,30,0.057670134077346225,0.03090291876991798,-0.02460653246216221,0.011392113802836393,-0.15422953664889888,-0.026767215307428243,0.43333333333333335,0.26666666666666666,8.433333333333334,0.24380952380952375
