scheme,scheme_id,note,run,universe,months,eval_days,win_start,win_end,n_names,bench_ret,s12_mean_ret,dip_mean_ret,dip_minus_s12,s12_mean_mdd,dip_mean_mdd,s12_mean_exposure,dip_mean_exposure,dip_beat_s12,s12_vs_bench,dip_vs_bench,s12_positive,dip_positive
D01_baseline,1,baseline_dip10_w25,38,SOXX,12,252,2024-07-02,2025-07-03,30,-0.019691750048819512,-0.042699691533501484,-0.06522871440981934,-0.022529022876317854,-0.22362703060876782,-0.25625239299638986,0.1978835978835979,0.28541666666666665,0,-0.023007941484681972,-0.045536964360999826,0,0
D01_baseline,1,baseline_dip10_w25,39,QQQ,5,105,2024-09-23,2025-02-24,30,0.07798173822976961,0.06547072313479577,0.07411096399690921,0.008640240862113444,-0.09793759599584707,-0.10555784124649621,0.40888888888888886,0.4904761904761905,1,-0.012511015094973849,-0.003870774232860405,1,1
D01_baseline,1,baseline_dip10_w25,40,QQQ,12,252,2025-05-13,2026-05-13,30,0.3929080380641541,0.10209609867488217,0.13727140081748543,0.035175302142603254,-0.18245185130402916,-0.19793312794389942,0.31388888888888894,0.40089285714285716,1,-0.2908119393892719,-0.25563663724666863,1,1
D01_baseline,1,baseline_dip10_w25,41,SOXX,5,105,2024-12-18,2025-05-21,29,-0.03550491258274213,-0.03958675821020653,-0.06383961576826659,-0.02425285755806006,-0.12360463930904281,-0.1558582504090855,0.1714285714285714,0.2566502463054187,0,-0.0040818456274644005,-0.02833470318552446,0,0
D01_baseline,1,baseline_dip10_w25,42,QQQ,1,21,2026-06-01,2026-06-30,30,-0.007446386853765863,-0.004137721075456391,0.0012199065631248284,0.005357627638581219,-0.012896127851843646,-0.026644759948600782,0.10793650793650794,0.2357142857142857,1,0.003308665778309472,0.00866629341689069,0,1
D01_baseline,1,baseline_dip10_w25,43,SOXX,5,105,2025-04-30,2025-09-29,30,0.46913595929254015,0.12020837437946033,0.15730170322335219,0.037093328843891854,-0.11467746009539652,-0.11605342105606438,0.391111111111111,0.4632539682539683,1,-0.34892758491307985,-0.31183425606918797,1,1
D01_baseline,1,baseline_dip10_w25,44,SOXX,5,105,2024-07-24,2024-12-19,29,-0.07336127646416635,0.014440215493246455,0.0070375625505327295,-0.007402652942713726,-0.10254019487332973,-0.11868836368188701,0.1960591133004926,0.2897372742200328,0,0.0878014919574128,0.08039883901469908,1,1
D01_baseline,1,baseline_dip10_w25,45,SOXX,12,252,2024-03-06,2025-03-07,30,-0.10757483963704584,-0.08439870231549465,-0.08788115574956192,-0.0034824534340672647,-0.23166021795046768,-0.2440716195022103,0.24735449735449733,0.3521494708994709,0,0.023176137321551188,0.019693683887483923,0,0
D01_baseline,1,baseline_dip10_w25,46,SOXX,11,231,2024-02-13,2025-01-14,30,0.07418656590600592,0.02756966561592551,0.04746755424268919,0.01989788862676368,-0.20760107677177955,-0.220057776093018,0.2522366522366522,0.3586580086580086,1,-0.04661690029008041,-0.02671901166331673,1,1
D01_baseline,1,baseline_dip10_w25,47,QQQ,12,252,2025-06-12,2026-06-12,30,0.3582275230463974,0.10374190539348917,0.1516075098020718,0.04786560440858263,-0.1650181027476526,-0.17902107095898662,0.28941798941798946,0.38591269841269843,1,-0.2544856176529082,-0.20662001324432558,1,1
D01_baseline,1,baseline_dip10_w25,48,QQQ,1,21,2025-07-02,2025-07-31,30,0.02579898212369769,0.009147873504681665,0.009664643627366768,0.0005167701226851031,-0.03190240724898848,-0.037258955432518316,0.3682539682539682,0.46984126984126984,1,-0.016651108619016024,-0.01613433849633092,1,1
D01_baseline,1,baseline_dip10_w25,49,QQQ,6,126,2024-03-22,2024-09-20,30,0.08250098618182977,-0.011823329141226387,0.002069738981816223,0.01389306812304261,-0.1258061830418667,-0.12509894314499326,0.29550264550264543,0.39371693121693124,1,-0.09432431532305616,-0.08043124720001354,0,1
D01_baseline,1,baseline_dip10_w25,50,QQQ,11,231,2025-04-16,2026-03-18,30,0.3441101199491847,0.036376948153369094,0.05462593079503653,0.01824898264166744,-0.12889573510110175,-0.13880638696230538,0.26536796536796536,0.35537518037518034,1,-0.3077331717958156,-0.2894841891541482,1,1
D01_baseline,1,baseline_dip10_w25,51,SOXX,12,252,2025-05-09,2026-05-11,30,1.7645874371661052,0.4097080988831326,0.5737974870214662,0.16408938813833357,-0.19101367705129177,-0.19348427175482588,0.3484126984126984,0.4477843915343915,1,-1.3548793382829727,-1.190789950144639,1,1
D01_baseline,1,baseline_dip10_w25,52,QQQ,6,126,2024-07-26,2025-01-27,30,0.11403101000835725,0.05681938935261872,0.0818599964263329,0.025040607073714187,-0.12773069541356347,-0.12930953126047876,0.3232804232804233,0.425,1,-0.05721162065573853,-0.032171013582024344,1,1
D01_baseline,1,baseline_dip10_w25,53,SOXX,9,189,2025-02-25,2025-11-21,30,0.27137739698000374,0.056180111741826515,0.06127231098984617,0.005092199248019652,-0.16495208287193883,-0.175733752137165,0.28395061728395066,0.36746031746031743,1,-0.21519728523817722,-0.21010508599015756,1,1
D01_baseline,1,baseline_dip10_w25,54,QQQ,10,210,2025-06-10,2026-04-10,30,0.14941279936704488,-0.015405285196039335,-0.021937696617527338,-0.006532411421488003,-0.13625480198106962,-0.15235672921900256,0.2634920634920635,0.3493650793650794,0,-0.16481808456308422,-0.17135049598457222,0,0
D01_baseline,1,baseline_dip10_w25,55,QQQ,9,189,2024-03-12,2024-12-09,30,0.18252348107739125,0.055664773216138046,0.07102595169003954,0.015361178473901498,-0.12915008536707423,-0.12871542352157853,0.3707231040564374,0.4529982363315697,1,-0.1268587078612532,-0.1114975293873517,1,1
D01_baseline,1,baseline_dip10_w25,56,SOXX,1,21,2026-03-06,2026-04-06,30,0.06430085839175526,0.002552041162142956,0.012199010196035172,0.009646969033892217,-0.012963321553764555,-0.04028570472173295,0.06984126984126983,0.25833333333333336,1,-0.0617488172296123,-0.052101848195720085,1,1
