datetime,MU_buy_hold,S12_full,L1+L4
2025-04-22,39619.502726804036,45641.75858041497,48912.89226717628
2025-04-23,41174.65288230541,45641.75858041497,48912.89226717628
2025-04-24,43674.216691678244,45641.75858041497,48912.89226717628
2025-04-25,45003.43332734708,45641.75858041497,48912.89226717628
2025-04-28,44313.72148260087,45641.75858041497,48912.89226717628
2025-04-29,43361.32091455526,45641.75858041497,48912.89226717628
2025-04-30,43483.962208356505,45641.75858041497,48912.89226717628
2025-05-01,43975.76606934603,45641.75858041497,48912.89226717628
2025-05-02,45629.21463597158,45641.75858041497,48912.89226717628
2025-05-05,45469.052563434394,45641.75858041497,48912.89226717628
2025-05-06,45534.44712095497,45641.75858041497,48912.89226717628
2025-05-07,46722.346336262104,45641.75858041497,48912.89226717628
2025-05-08,48143.23504744564,45641.75858041497,48912.89226717628
2025-05-09,48543.856782268864,45641.75858041497,48912.89226717628
2025-05-12,52201.2987892154,45641.75858041497,48912.89226717628
2025-05-13,54818.82063930785,47912.10969195852,49521.15892243639
2025-05-14,53904.6567068461,47113.122736424986,49314.70401857014
2025-05-15,53989.52055701865,47187.2944542936,49348.59141752771
2025-05-16,55426.31037208873,48443.06082104694,50005.233232506194
2025-05-19,55833.71315491551,48799.13427523595,50189.01121662657
2025-05-20,55523.18653625347,48527.73140224272,50049.44478743487
2025-05-21,54236.83070443734,47403.4456004305,49469.67443204075
2025-05-22,53663.779050896366,46902.59364186196,48937.097324756214
2025-05-23,52855.07396258677,46195.778601923834,48199.6226199633
2025-05-27,54546.05812814732,47673.71296612296,49741.665654356635
2025-05-28,54433.845791907406,47575.638441716605,49639.33693064893
2025-05-29,54809.511971468295,47903.97383807817,49981.91460065154
2025-05-30,53477.487724017206,46739.77345740703,48767.21445486744
2025-06-02,55580.93994493711,48578.20836653463,50685.39554225422
2025-06-03,57880.982754541285,50588.465101443966,52782.85160694829
2025-06-04,58446.43534588331,51082.67541582192,53298.499386222196
2025-06-05,60167.445145240636,52586.852436161134,54867.92340997817
2025-06-06,61447.91539219523,53705.994187368146,56035.61040863774
2025-06-09,62793.6497486125,54882.17731843441,57262.81308310462
2025-06-10,64591.39530368796,56453.42203381678,58902.21401143724
2025-06-11,65657.85927621745,57385.52050362071,59874.7443128818
