datetime,SMH_buy_hold,S12_full,L1+L4
2025-02-21,51026.33880800371,46721.2089599211,46680.63203361856
2025-02-24,49693.694050006314,46721.2089599211,46680.63203361856
2025-02-25,48635.586015838635,46721.2089599211,46680.63203361856
2025-02-26,49766.34654522649,47788.772402240866,46947.291102020565
2025-02-27,46730.8041477918,44873.853891666105,46231.39319872873
2025-02-28,47545.3823262066,44855.904350109435,46226.77005940885
2025-03-03,45579.70301036465,44855.904350109435,46226.77005940885
2025-03-04,46034.83352163955,44855.904350109435,46226.77005940885
2025-03-05,46883.4686252971,44855.904350109435,46226.77005940885
2025-03-06,44902.36041493263,44855.904350109435,46226.77005940885
2025-03-07,45983.81604262253,44855.904350109435,46226.77005940885
2025-03-10,43800.61854377909,44855.904350109435,46226.77005940885
2025-03-11,43737.964916057805,44855.904350109435,46226.77005940885
2025-03-12,45023.12788240355,44855.904350109435,46226.77005940885
2025-03-13,44825.379810064966,44855.904350109435,46226.77005940885
2025-03-14,46247.46451396831,44855.904350109435,46226.77005940885
2025-03-17,46736.14821268986,44855.904350109435,46226.77005940885
2025-03-18,46011.010593927735,44855.904350109435,46226.77005940885
2025-03-19,46417.193919688994,44855.904350109435,46226.77005940885
2025-03-20,46347.643541636644,44855.904350109435,46226.77005940885
2025-03-21,45890.07341285133,44855.904350109435,46226.77005940885
2025-03-24,47080.8327323928,44855.904350109435,46226.77005940885
2025-03-25,46880.648046150694,44855.904350109435,46226.77005940885
2025-03-26,45313.88250296571,44855.904350109435,46226.77005940885
2025-03-27,44440.800580053045,44855.904350109435,46226.77005940885
2025-03-28,43297.83104437998,44855.904350109435,46226.77005940885
2025-03-31,43174.70340606189,44855.904350109435,46226.77005940885
2025-04-01,43383.70851078675,44855.904350109435,46226.77005940885
2025-04-02,43728.07020151792,44855.904350109435,46226.77005940885
2025-04-03,39863.55351488958,44855.904350109435,46226.77005940885
2025-04-04,36794.317097496154,44855.904350109435,46226.77005940885
2025-04-07,37726.53967135525,44855.904350109435,46226.77005940885
2025-04-08,36828.08626759504,44855.904350109435,46226.77005940885
2025-04-09,43088.66221360166,44855.904350109435,46226.77005940885
2025-04-10,40051.09767676892,44855.904350109435,46226.77005940885
2025-04-11,41095.10988195345,44855.904350109435,46226.77005940885
2025-04-14,41182.635547556565,44855.904350109435,46226.77005940885
2025-04-15,41449.961064358606,44855.904350109435,46226.77005940885
2025-04-16,39711.67196781535,44855.904350109435,46226.77005940885
2025-04-17,39344.83516290116,44855.904350109435,46226.77005940885
2025-04-21,38380.15500449906,44855.904350109435,46226.77005940885
2025-04-22,39207.60318790814,44855.904350109435,46226.77005940885
2025-04-23,40666.033251719804,44855.904350109435,46226.77005940885
2025-04-24,42697.81169250294,44855.904350109435,46226.77005940885
2025-04-25,43319.24251053495,44855.904350109435,46226.77005940885
2025-04-28,43049.22699884317,44855.904350109435,46226.77005940885
2025-04-29,42976.89246035518,44855.904350109435,46226.77005940885
2025-04-30,43212.1057758468,44855.904350109435,46226.77005940885
2025-05-01,43429.85832753806,44855.904350109435,46226.77005940885
2025-05-02,44801.04952732761,44855.904350109435,46226.77005940885
2025-05-05,44511.69004226816,44855.904350109435,46226.77005940885
2025-05-06,44105.858439473646,44855.904350109435,46226.77005940885
2025-05-07,45011.62737550098,44855.904350109435,46226.77005940885
2025-05-08,45408.80401468505,44855.904350109435,46226.77005940885
2025-05-09,45708.11502181224,44855.904350109435,46226.77005940885
2025-05-12,48566.64935093441,47643.200016396135,46944.88999099768
2025-05-13,50224.74581369503,49269.769328414426,47345.57213130917
2025-05-14,50721.17199015317,49250.061420683065,47340.83757409604
2025-05-15,50547.850083695856,49250.061420683065,47340.83757409604
2025-05-16,50403.00716262045,49089.23723855907,47302.19015283251
2025-05-19,50338.75218721453,49026.657088900894,47287.11465815464
2025-05-20,50245.57709883044,48935.910637927176,47238.622634168525
2025-05-21,49409.26759664453,48121.399800801744,46845.49241992676
2025-05-22,49274.135819367984,47989.790274969404,46781.43242717623
2025-05-23,48595.29987821138,47328.64840194619,46459.18509414564
2025-05-27,50125.84465429486,48819.29905647935,47190.81822764981
2025-05-28,49592.568874853154,48299.92327467073,46679.32926473289
2025-05-29,49971.36716978296,48668.848075236216,47035.875633173055
2025-05-30,49082.3798615482,47803.03249532042,46199.11052471543
2025-06-02,49811.159957853975,48512.816713687964,46885.079548882895
2025-06-03,50934.330059983025,49606.71104076213,47942.27074117401
2025-06-04,51538.60997146491,50195.240210014344,48511.05315346059
2025-06-05,51450.402042271504,50109.33144769534,48428.02686415967
2025-06-06,51744.641771175884,50395.90172733349,48704.981930209055
2025-06-09,52607.127145638864,51235.90615455344,49516.80192046143
2025-06-10,53649.18162407226,52250.799161676565,50497.642502310104
2025-06-11,53612.32736399435,52214.90551925204,50462.95318937441
2025-06-12,53876.748397550175,52472.43433703086,50711.84121372785
2025-06-13,52613.069064113624,51241.6931950909,49522.39479002314
2025-06-16,53913.28838899447,52508.021902330605,50746.23471926015
2025-06-17,53546.254853027865,52150.55520865813,50400.76200701128
2025-06-18,53751.12409119438,52350.08446695797,50593.59651511515
2025-06-20,53284.228957563006,51895.359098957386,50154.12842202487
2025-06-23,53622.716270732264,52225.02363593229,50472.73181567513
2025-06-24,55574.89180289527,54126.31511087288,52310.229781919814
2025-06-25,56321.47694576862,54853.44028177882,53012.95792242585
2025-06-26,56730.62515055356,55251.9239124403,53398.07134168481
2025-06-27,56980.13262681611,55494.92789939549,53632.9218828589
2025-06-30,57075.03877784551,55587.36029233286,53722.25291719852
2025-07-01,56451.40014510767,54979.97699286373,53135.24898212834
2025-07-02,57563.45541384807,56063.04619810891,54181.97826491884
2025-07-03,58047.619167536126,56534.590074259424,54637.70055939176
2025-07-07,57254.903724448115,55762.537003638754,53891.551972604044
2025-07-08,58013.715373056686,56501.569992637735,54605.788391465474
2025-07-09,58410.114927129944,56887.63727009954,54978.90206000063
2025-07-10,58840.51313358658,57306.817014586486,55384.017182083524
