,cash
2025-07-15,19573.274673300002
2025-07-16,11073.526585800002
2025-07-17,19331.7867338
2025-07-18,11164.0367658
2025-07-21,11164.0367658
2025-07-22,12784.853584299999
2025-07-23,12784.853584299999
2025-07-24,21029.8073507
2025-07-25,12221.2485184
2025-07-28,12221.2485184
2025-07-29,12221.2485184
2025-07-30,12221.2485184
2025-07-31,12221.2485184
2025-08-01,20512.4937454
2025-08-04,20512.4937454
2025-08-05,20512.4937454
2025-08-06,20512.4937454
2025-08-07,20512.4937454
2025-08-08,20512.4937454
2025-08-11,20512.4937454
2025-08-12,20512.4937454
2025-08-13,20512.4937454
2025-08-14,20512.4937454
2025-08-15,29560.5728532
2025-08-18,12613.137853199998
2025-08-19,12613.137853199998
2025-08-20,12613.137853199998
2025-08-21,20593.2463349
2025-08-22,11774.563603800001
2025-08-25,20181.3901388
2025-08-26,11809.320226799999
2025-08-27,3774.8056193999982
2025-08-28,12327.9221189
2025-08-29,3804.8770246999993
2025-09-02,11813.3031247
2025-09-03,11813.3031247
2025-09-04,20026.9546143
2025-09-05,28401.507818899998
2025-09-08,28401.507818899998
2025-09-09,11492.0152351
2025-09-10,11492.0152351
2025-09-11,11492.0152351
2025-09-12,11492.0152351
2025-09-15,11492.0152351
2025-09-16,11492.0152351
2025-09-17,11492.0152351
2025-09-18,11492.0152351
2025-09-19,20268.7677671
2025-09-22,20268.7677671
2025-09-23,20268.7677671
2025-09-24,3288.378954099997
2025-09-25,11496.668042099996
2025-09-26,19811.8820421
2025-09-29,2868.005046899998
2025-09-30,2868.005046899998
2025-10-01,2868.005046899998
2025-10-02,2868.005046899998
2025-10-03,2868.005046899998
2025-10-06,2868.005046899998
2025-10-07,2868.005046899998
2025-10-08,2868.005046899998
2025-10-09,2868.005046899998
2025-10-10,2868.005046899998
2025-10-13,12196.176800199995
2025-10-14,20289.574310199994
2025-10-15,11662.430639699996
2025-10-16,11662.430639699996
2025-10-17,11662.430639699996
2025-10-20,11662.430639699996
2025-10-21,11662.430639699996
2025-10-22,11662.430639699996
2025-10-23,11662.430639699996
2025-10-24,11662.430639699996
2025-10-27,20218.296414399996
2025-10-28,28810.339332699994
2025-10-29,11978.548979699994
2025-10-30,20075.937385699992
2025-10-31,20075.937385699992
2025-11-03,11282.010558099995
2025-11-04,11282.010558099995
2025-11-05,11282.010558099995
2025-11-06,19254.977308099995
2025-11-07,34382.5863881
2025-11-10,16990.321229499994
2025-11-11,16990.321229499994
2025-11-12,16990.321229499994
2025-11-13,16990.321229499994
2025-11-14,16990.321229499994
2025-11-17,8216.178041399995
2025-11-18,59010.87612799999
2025-11-19,59010.87612799999
2025-11-20,59010.87612799999
2025-11-21,59010.87612799999
2025-11-24,59010.87612799999
2025-11-25,59010.87612799999
2025-11-26,8114.305280999986
2025-11-28,16570.69496419999
2025-12-01,8365.325557299991
2025-12-02,8365.325557299991
2025-12-03,8365.325557299991
2025-12-04,8365.325557299991
2025-12-05,8365.325557299991
2025-12-08,8365.325557299991
2025-12-09,8365.325557299991
2025-12-10,8365.325557299991
2025-12-11,8365.325557299991
2025-12-12,8365.325557299991
2025-12-15,8365.325557299991
2025-12-16,64660.298050599995
2025-12-17,64660.298050599995
2025-12-18,64660.298050599995
2025-12-19,64660.298050599995
2025-12-22,47778.3686262
2025-12-23,55911.9412061
2025-12-24,55911.9412061
2025-12-26,39105.130332099994
2025-12-29,22434.491259599992
2025-12-30,22434.491259599992
2025-12-31,22434.491259599992
2026-01-02,64563.98972309999
2026-01-05,64563.98972309999
2026-01-06,47630.7339351
2026-01-07,38781.25524109999
2026-01-08,23016.823849099994
2026-01-09,23016.823849099994
2026-01-12,15179.75019509999
2026-01-13,15179.75019509999
2026-01-14,22987.69350209999
2026-01-15,14512.261922099988
2026-01-16,14512.261922099988
2026-01-20,14512.261922099988
2026-01-21,62145.23493459998
2026-01-22,62145.23493459998
2026-01-23,11163.511896099979
2026-01-26,11163.511896099979
2026-01-27,11163.511896099979
2026-01-28,11163.511896099979
2026-01-29,11163.511896099979
2026-01-30,11163.511896099979
2026-02-02,11163.511896099979
