,above_sma50,above_sma200,ret20,dd60,overlap,strong_share,breadth,raw_label,label,method
2025-09-10,1.0,1.0,0.0011208004628715518,0.0,0.7,0.13402061855670103,0.4742268041237113,Range,Range,hierarchy
2025-09-11,1.0,1.0,0.006444419049993488,0.0,0.7,0.14432989690721648,0.4536082474226804,Range,Range,hierarchy
2025-09-12,1.0,1.0,0.011673745076736353,0.0,0.8,0.14432989690721648,0.4742268041237113,Range,Range,hierarchy
2025-09-15,1.0,1.0,0.02483774794672189,0.0,0.9,0.13402061855670103,0.4329896907216495,Range,Range,hierarchy
2025-09-16,1.0,1.0,0.024379287530034377,-0.0008457305889546518,0.9,0.12371134020618557,0.4639175257731959,Range,Range,hierarchy
2025-09-17,1.0,1.0,0.036397686334937784,-0.0028394810135181636,0.8,0.13402061855670103,0.5463917525773195,Rotation,Range,hierarchy
2025-09-18,1.0,1.0,0.05198656211824204,0.0,0.8,0.14432989690721648,0.5670103092783505,Rotation,Range,hierarchy
2025-09-19,1.0,1.0,0.06403592019636939,0.0,0.9,0.15463917525773196,0.5567010309278351,Rotation,Rotation,hierarchy
2025-09-22,1.0,1.0,0.05412095392858718,0.0,0.7,0.15463917525773196,0.4536082474226804,Rotation,Rotation,hierarchy
2025-09-23,1.0,1.0,0.05014958191063146,-0.006642979041117769,0.7,0.17525773195876287,0.4948453608247423,Rotation,Rotation,hierarchy
2025-09-24,1.0,1.0,0.04227873112917013,-0.010129459762146187,0.7,0.15463917525773196,0.4536082474226804,Rotation,Rotation,hierarchy
2025-09-25,1.0,1.0,0.03619180112731435,-0.014397565463175277,0.7,0.14432989690721648,0.41237113402061853,Rotation,Rotation,hierarchy
2025-09-26,1.0,1.0,0.03397990632236958,-0.010344448296090825,0.7,0.16494845360824742,0.44329896907216493,Rotation,Rotation,hierarchy
2025-09-29,1.0,1.0,0.0509334780203714,-0.005761359394165666,0.6,0.16494845360824742,0.5154639175257731,Rotation,Rotation,hierarchy
2025-09-30,1.0,1.0,0.06271751005942394,-0.0030381712975309227,0.6,0.17525773195876287,0.5257731958762887,Rotation,Rotation,hierarchy
2025-10-01,1.0,1.0,0.059478190977448886,0.0,0.6,0.18556701030927836,0.5670103092783505,Rotation,Rotation,hierarchy
2025-10-02,1.0,1.0,0.05429114938974844,0.0,0.6,0.1958762886597938,0.5979381443298969,Rotation,Rotation,hierarchy
2025-10-03,1.0,1.0,0.04834160423516698,-0.004208440408318026,0.6,0.17525773195876287,0.5773195876288659,Rotation,Rotation,hierarchy
2025-10-06,1.0,1.0,0.0510874150090872,0.0,0.6,0.1958762886597938,0.5567010309278351,Rotation,Rotation,hierarchy
2025-10-07,1.0,1.0,0.04259819567821288,-0.005264878897876746,0.6,0.1958762886597938,0.5463917525773195,Rotation,Rotation,hierarchy
2025-10-08,1.0,1.0,0.05420539077681252,0.0,0.6,0.1958762886597938,0.5773195876288659,Rotation,Rotation,hierarchy
2025-10-09,1.0,1.0,0.04683661462024924,-0.0012113472709397444,0.5,0.20618556701030927,0.5360824742268041,Rotation,Rotation,hierarchy
2025-10-10,1.0,1.0,0.006052986756736267,-0.03588246976966347,0.4,0.21649484536082475,0.44329896907216493,Range,Rotation,hierarchy
2025-10-13,1.0,1.0,0.018685890904150515,-0.015422518912938998,0.5,0.1958762886597938,0.5051546391752577,Range,Rotation,hierarchy
2025-10-14,1.0,1.0,0.012756186027854444,-0.021981521209246346,0.5,0.20618556701030927,0.5257731958762887,Range,Range,hierarchy
2025-10-15,1.0,1.0,0.021942612676440154,-0.015079467992035966,0.5,0.1958762886597938,0.4948453608247423,Range,Range,hierarchy
2025-10-16,1.0,1.0,0.009060496706961851,-0.018726640940583184,0.4,0.1958762886597938,0.3917525773195876,Rotation,Range,hierarchy
2025-10-17,1.0,1.0,0.008857064779126622,-0.012282536081898998,0.3,0.18556701030927836,0.41237113402061853,Rotation,Range,hierarchy
2025-10-20,1.0,1.0,0.015509172844114794,0.0,0.3,0.16494845360824742,0.5463917525773195,Rotation,Rotation,hierarchy
2025-10-21,1.0,1.0,0.022033534324531923,-0.0002609389205990853,0.4,0.15463917525773196,0.6288659793814433,Rotation,Rotation,hierarchy
2025-10-22,1.0,1.0,0.01575206160746445,-0.00989270322874991,0.4,0.15463917525773196,0.5876288659793815,Rotation,Rotation,hierarchy
2025-10-23,1.0,1.0,0.028727090107593334,-0.001568915774168067,0.3,0.17525773195876287,0.6701030927835051,Rotation,Rotation,hierarchy
2025-10-24,1.0,1.0,0.03545320591083234,0.0,0.3,0.1958762886597938,0.5773195876288659,Rotation,Rotation,hierarchy
2025-10-27,1.0,1.0,0.04903658383271159,0.0,0.4,0.20618556701030927,0.6391752577319587,Rotation,Rotation,hierarchy
2025-10-28,1.0,1.0,0.05421516560265727,0.0,0.4,0.20618556701030927,0.5979381443298969,Rotation,Rotation,hierarchy
2025-10-29,1.0,1.0,0.05390814503275787,0.0,0.5,0.18556701030927836,0.5360824742268041,Rotation,Rotation,hierarchy
2025-10-30,1.0,1.0,0.033546572026463606,-0.015288540619213475,0.6,0.1958762886597938,0.5257731958762887,Rotation,Rotation,hierarchy
2025-10-31,1.0,1.0,0.04292115425892118,-0.010538595474844592,0.6,0.23711340206185566,0.5360824742268041,Rotation,Rotation,hierarchy
2025-11-03,1.0,1.0,0.04010258917099607,-0.005802857544267348,0.5,0.1958762886597938,0.5051546391752577,Rotation,Rotation,hierarchy
2025-11-04,1.0,1.0,0.024383481589948408,-0.02598341544576721,0.5,0.1958762886597938,0.4948453608247423,Range,Rotation,hierarchy
2025-11-05,1.0,1.0,0.01936350102340767,-0.01964541951534471,0.5,0.20618556701030927,0.4536082474226804,Range,Rotation,hierarchy
2025-11-06,1.0,1.0,0.0015891510449448365,-0.03790642497565044,0.6,0.20618556701030927,0.44329896907216493,Range,Range,hierarchy
