symbol,strategy,n_bars,total_return,sharpe,max_drawdown,avg_exposure,n_trades,vs_qqq,beat_qqq,final_equity
COST,sma,129,-0.10699156652365915,-1.539357864516322,-0.15741267925137992,0.37209302325581395,7,-0.25104474658734843,False,89300.84334763409
COST,regime,129,0.03286345734387908,0.6238412821923198,-0.06708349511140455,0.2558139534883721,5,-0.1111897227198102,False,103286.34573438791
COST,sma_rs5_entry,129,-0.025375843051380853,-1.4758995303630298,-0.03292196134248482,0.046511627906976744,1,-0.16942902311507013,False,97462.41569486192
COST,regime_rs5_entry,129,0.0,0.0,0.0,0.0,0,-0.14405318006368928,False,100000.0
CPRT,buy_hold,129,-0.2654564108531249,-1.711184434293001,-0.3228217217840651,0.9922480620155039,1,-0.40950959091681416,False,73454.35891468752
CPRT,sma,129,-0.052709167457184236,-1.6201553972097988,-0.06294005140090686,0.15503875968992248,3,-0.19676234752087352,False,94729.08325428158
CPRT,regime,129,-0.040717027336164335,-1.126085793841278,-0.04830931521744408,0.08527131782945736,5,-0.18477020739985361,False,95928.29726638357
CPRT,sma_rs5_entry,129,0.0,0.0,0.0,0.0,0,-0.14405318006368928,False,100000.0
CPRT,regime_rs5_entry,129,0.0,0.0,0.0,0.0,0,-0.14405318006368928,False,100000.0
CRWD,buy_hold,129,0.9087565119339518,2.54030277986002,-0.20396129573529154,0.9922480620155039,1,0.7647033318702625,True,190875.65119339517
CRWD,sma,129,0.5311310972553407,2.16797896426102,-0.1707666904191255,0.6201550387596899,4,0.3870779171916514,True,153113.10972553407
CRWD,regime,129,0.9967082838228336,3.475684222253675,-0.17076669041912562,0.5968992248062015,1,0.8526551037591443,True,199670.82838228336
CRWD,sma_rs5_entry,129,0.434755764372599,1.879574121617953,-0.17076669041912562,0.5968992248062015,4,0.2907025843089097,True,143475.5764372599
CRWD,regime_rs5_entry,129,0.7896995418365724,2.9902213313645682,-0.1707666904191254,0.5658914728682171,1,0.6456463617728831,True,178969.95418365725
CSCO,buy_hold,129,0.5102461644757568,2.1672763102181194,-0.15371993557490504,0.9922480620155039,1,0.3661929844120675,True,151024.61644757568
CSCO,sma,129,0.39196548064688397,2.2594323458164864,-0.13005426550744792,0.5038759689922481,3,0.2479123005831947,True,139196.5480646884
CSCO,regime,129,0.40862860540878776,2.964348641246643,-0.032452133048863185,0.2248062015503876,4,0.2645754253450985,True,140862.86054087878
CSCO,sma_rs5_entry,129,0.39196548064688397,2.2594323458164864,-0.13005426550744792,0.5038759689922481,3,0.2479123005831947,True,139196.5480646884
CSCO,regime_rs5_entry,129,0.4332017951844136,3.1355146335859367,-0.03245213304886285,0.20930232558139536,2,0.2891486151207243,True,143320.17951844135
CSGP,buy_hold,129,-0.507094723784476,-2.5572029400821203,-0.5576042655994672,0.9922480620155039,1,-0.6511479038481652,False,49290.527621552406
CSGP,sma,129,-0.04815576588119386,-2.0944949785867153,-0.04815576588119386,0.023255813953488372,3,-0.19220894594488314,False,95184.42341188062
CSGP,regime,129,0.0,0.0,0.0,0.0,0,-0.14405318006368928,False,100000.0
CSGP,sma_rs5_entry,129,0.0,0.0,0.0,0.0,0,-0.14405318006368928,False,100000.0
CSGP,regime_rs5_entry,129,0.0,0.0,0.0,0.0,0,-0.14405318006368928,False,100000.0
CSX,buy_hold,129,0.3285577742365442,2.4120899222901864,-0.11676017588384291,0.9922480620155039,1,0.18450459417285492,True,132855.77742365442
CSX,sma,129,0.2059741131082613,1.9227123535512567,-0.0630944269497623,0.6434108527131783,1,0.061920933044572024,True,120597.41131082614
CSX,regime,129,0.2031988006875356,1.9051792354638843,-0.06309442694976253,0.6201550387596899,2,0.05914562062384632,True,120319.88006875355
CSX,sma_rs5_entry,129,0.20311494551402132,1.9033638444762662,-0.06309442694976242,0.627906976744186,1,0.05906176545033204,True,120311.49455140214
CSX,regime_rs5_entry,129,0.21032052990636152,1.9654250805873392,-0.06309442694976242,0.6124031007751938,2,0.06626734984267224,True,121032.05299063615
CTAS,buy_hold,129,0.06363751565334308,0.5758946322276786,-0.19924405842668502,0.9922480620155039,1,-0.0804156644103462,False,106363.75156533431
CTAS,sma,129,0.01736491635086601,0.2666533344060776,-0.10438147989768831,0.35658914728682173,7,-0.12668826371282327,False,101736.4916350866
CTAS,regime,129,0.051831451867255574,0.8277743199875112,-0.07099887338401245,0.10077519379844961,8,-0.0922217281964337,False,105183.14518672555
CTAS,sma_rs5_entry,129,-0.014520738565030777,-0.10934636229287992,-0.07182356199909645,0.20930232558139536,3,-0.15857391862872006,False,98547.92614349692
CTAS,regime_rs5_entry,129,-0.020758900211368503,-0.8959333331070133,-0.03117724846489267,0.023255813953488372,2,-0.16481208027505778,False,97924.10997886315
CTSH,buy_hold,129,-0.30782387753161067,-1.1973014742216224,-0.5299153929191347,0.9922480620155039,1,-0.45187705759529995,False,69217.61224683894
CTSH,sma,129,-0.046576454133894885,-0.2038181913097242,-0.2383381266929555,0.17054263565891473,3,-0.19062963419758416,False,95342.35458661051
CTSH,regime,129,0.02136926912804049,1.403121520040228,0.0,0.007751937984496124,1,-0.12268391093564879,False,102136.92691280405
CTSH,sma_rs5_entry,129,0.02852990199055183,0.33959180804725647,-0.1783378800543579,0.12403100775193798,3,-0.11552327807313745,False,102852.99019905519
CTSH,regime_rs5_entry,129,0.02136926912804049,1.403121520040228,0.0,0.007751937984496124,1,-0.12268391093564879,False,102136.92691280405
DASH,buy_hold,129,0.03281639421648652,0.3767464757059779,-0.2933716289911653,0.9922480620155039,1,-0.11123678584720276,False,103281.63942164865
DASH,sma,129,0.06714554829243702,0.6065272417520314,-0.1971159466721647,0.3953488372093023,3,-0.07690763177125226,False,106714.5548292437
DASH,regime,129,0.008693960653294086,0.1977356164428252,-0.21204882140496328,0.3798449612403101,3,-0.1353592194103952,False,100869.3960653294
DASH,sma_rs5_entry,129,0.05210078853457256,0.5056988093209623,-0.1881727514789805,0.37209302325581395,3,-0.09195239152911672,False,105210.07885345725
