scheme,scheme_id,note,run,n_names,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_qqq,pct_positive,pct_beat_qqq,mean_trades,mean_exposure,basket_eq_ret
S01_baseline,1,baseline,72,30,0.14804639548758558,0.010684634564020246,0.5854831181838307,-0.07573956785539894,0.003993215423896246,0.5,0.26666666666666666,2.3333333333333335,0.18552971576227387,0.14804639548758558
S01_baseline,1,baseline,73,30,0.1013667295772897,0.03112507893722294,0.5503922767779135,-0.1151473480462745,-0.04268645048639957,0.6333333333333333,0.3333333333333333,3.1,0.24573643410852714,0.1013667295772897
S01_baseline,1,baseline,74,30,0.129226152276991,0.003724293607684226,0.3788119270942277,-0.11306929711994114,-0.0148270277866983,0.5,0.23333333333333334,2.8,0.2198966408268734,0.129226152276991
S01_baseline,1,baseline,75,30,0.08699663251493037,0.051783846012658175,0.6494940550406706,-0.10255181261983756,-0.05705654754875889,0.6666666666666666,0.3,2.533333333333333,0.20594315245478037,0.08699663251493037
S01_baseline,1,baseline,76,30,0.0568211628875623,0.0,0.20883530548718046,-0.10295645680498534,-0.08723201717612697,0.43333333333333335,0.16666666666666666,2.966666666666667,0.18552971576227392,0.0568211628875623
S01_baseline,1,baseline,77,30,0.0974188209375292,0.04972469391998868,0.5849667921391954,-0.09986934430765419,-0.0466343591261601,0.6333333333333333,0.36666666666666664,3.0,0.23436692506459947,0.0974188209375292
S01_baseline,1,baseline,78,30,0.16923517916615663,0.03959106265496026,0.8016146832601242,-0.09009950750296931,0.025181999102467316,0.6666666666666666,0.36666666666666664,2.7666666666666666,0.20620374020058688,0.16923517916615663
S01_baseline,1,baseline,79,30,0.13233798624992066,0.018701240574922284,0.5643373151043113,-0.08814177708225188,-0.011715193813768657,0.5666666666666667,0.2,2.066666666666667,0.1749354005167959,0.13233798624992066
S01_baseline,1,baseline,80,30,0.12671162121566845,0.07313515912874868,0.8124744713299364,-0.10925246350711734,-0.017341558848020803,0.6666666666666666,0.36666666666666664,3.2,0.20439276485788113,0.12671162121566845
S01_baseline,1,baseline,81,30,0.1161417279868675,0.0423341038538847,0.6815990231259929,-0.09619062231171567,-0.02791145207682178,0.6,0.3333333333333333,2.6,0.20000218981298995,0.1161417279868675
