datetime,QQQ_buy_hold,S12_full,L1+L4
2025-03-28,46037.67699708706,47324.82722880768,47100.649430121535
2025-03-31,46046.158907617355,47324.82722880768,47100.649430121535
2025-04-01,46419.18160147912,47324.82722880768,47100.649430121535
2025-04-02,46771.87436130501,47324.82722880768,47100.649430121535
2025-04-03,44243.48760096663,47324.82722880768,47100.649430121535
2025-04-04,41452.17728994392,47324.82722880768,47100.649430121535
2025-04-07,41602.74505979088,47324.82722880768,47100.649430121535
2025-04-08,40925.20620531591,47324.82722880768,47100.649430121535
2025-04-09,45843.34079942935,47324.82722880768,47100.649430121535
2025-04-10,43873.60956873896,47324.82722880768,47100.649430121535
2025-04-11,44685.193934441944,47324.82722880768,47100.649430121535
2025-04-14,45002.94792495886,47324.82722880768,47100.649430121535
2025-04-15,45053.2396286986,47324.82722880768,47100.649430121535
2025-04-16,43685.20322301233,47324.82722880768,47100.649430121535
2025-04-17,43679.356985516446,47324.82722880768,47100.649430121535
2025-04-21,42591.69315618237,47324.82722880768,47100.649430121535
2025-04-22,43702.56609780889,47324.82722880768,47100.649430121535
2025-04-23,44704.27134258323,47324.82722880768,47100.649430121535
2025-04-24,45957.62040025333,47324.82722880768,47100.649430121535
2025-04-25,46470.40333571363,47324.82722880768,47100.649430121535
2025-04-28,46455.71374148023,47324.82722880768,47100.649430121535
2025-04-29,46765.03556193879,47324.82722880768,47100.649430121535
2025-04-30,46773.88494285406,47324.82722880768,47100.649430121535
2025-05-01,47387.58356930188,47324.82722880768,47100.649430121535
2025-05-02,48088.7438209798,47324.82722880768,47100.649430121535
2025-05-05,47804.602721060466,47324.82722880768,47100.649430121535
2025-05-06,47362.35095902753,47324.82722880768,47100.649430121535
2025-05-07,47548.12559720692,47324.82722880768,47100.649430121535
2025-05-08,48039.31160043928,47324.82722880768,47100.649430121535
2025-05-09,48008.68860474241,47324.82722880768,47100.649430121535
2025-05-12,49961.394813828905,47324.82722880768,47100.649430121535
2025-05-13,50721.225446496384,47324.82722880768,47100.649430121535
2025-05-14,51024.761147337704,47324.82722880768,47100.649430121535
2025-05-15,51081.95940096206,47324.82722880768,47100.649430121535
2025-05-16,51304.07562644609,47324.82722880768,47100.649430121535
2025-05-19,51364.06652526265,47361.23518066967,47109.70830195233
2025-05-20,51193.23930997857,47203.72062885067,47070.53879675889
2025-05-21,50479.362064093744,46545.47624868948,46737.63814689403
2025-05-22,50573.78652839521,46632.54215999912,46781.350827327005
2025-05-23,50110.08011105876,46204.9726513533,46566.883866482385
