,cash
2025-07-16,37939.40919739998
2025-07-17,40393.169241399984
2025-07-18,38042.91211439999
2025-07-21,38042.91211439999
2025-07-22,39225.06326479998
2025-07-23,39225.06326479998
2025-07-24,41641.66841359998
2025-07-25,39038.19196899998
2025-07-28,39038.19196899998
2025-07-29,39038.19196899998
2025-07-30,39038.19196899998
2025-07-31,39038.19196899998
2025-08-01,41443.91542199998
2025-08-04,41443.91542199998
2025-08-05,41443.91542199998
2025-08-06,41443.91542199998
2025-08-07,41443.91542199998
2025-08-08,41443.91542199998
2025-08-11,41443.91542199998
2025-08-12,41443.91542199998
2025-08-13,41443.91542199998
2025-08-14,41443.91542199998
2025-08-15,44027.65945279998
2025-08-18,39124.094452799975
2025-08-19,39124.094452799975
2025-08-20,39124.094452799975
2025-08-21,41444.93734429997
2025-08-22,38887.417811499974
2025-08-25,41287.94682149997
2025-08-26,39015.06538319997
2025-08-27,36786.08273579997
2025-08-28,39293.42563529997
2025-08-29,36794.26657169997
2025-09-02,39061.89446669997
2025-09-03,39061.89446669997
2025-09-04,41420.72098669997
2025-09-05,43922.06573749997
2025-09-08,43922.06573749997
2025-09-09,39014.81264219997
2025-09-10,39014.81264219997
2025-09-11,39014.81264219997
2025-09-12,39014.81264219997
2025-09-15,39014.81264219997
2025-09-16,39014.81264219997
2025-09-17,39014.81264219997
2025-09-18,39014.81264219997
2025-09-19,41603.27125819997
2025-09-22,41603.27125819997
2025-09-23,41603.27125819997
2025-09-24,36652.80321219997
2025-09-25,39055.84446019997
2025-09-26,41465.84362019997
2025-09-29,36490.13801059997
2025-09-30,36490.13801059997
2025-10-01,36490.13801059997
2025-10-02,36490.13801059997
2025-10-03,36490.13801059997
2025-10-06,36490.13801059997
2025-10-07,36490.13801059997
2025-10-08,36490.13801059997
2025-10-09,36490.13801059997
2025-10-10,36490.13801059997
2025-10-13,39150.45346839997
2025-10-14,41511.71323839996
2025-10-15,38963.61319499997
2025-10-16,38963.61319499997
2025-10-17,38963.61319499997
2025-10-20,38963.61319499997
2025-10-21,38963.61319499997
2025-10-22,38963.61319499997
2025-10-23,38963.61319499997
2025-10-24,38963.61319499997
2025-10-27,41474.02122059997
2025-10-28,43995.05005899997
2025-10-29,39006.45254699997
2025-10-30,41420.06663299997
2025-10-31,41420.06663299997
2025-11-03,38892.49518259997
2025-11-04,38892.49518259997
2025-11-05,38892.49518259997
2025-11-06,41123.493072599966
2025-11-07,45658.98979659997
2025-11-10,40610.99143409996
2025-11-11,40610.99143409996
