datetime,DIA_buy_hold,S12_full,L1+L4
2025-03-25,50433.6670104997,48361.86607619298,48163.74204148607
2025-03-26,50245.65688909616,48361.86607619298,48163.74204148607
2025-03-27,50092.751815843694,48361.86607619298,48163.74204148607
2025-03-28,49224.058129091274,48361.86607619298,48163.74204148607
2025-03-31,49736.14339322603,48361.86607619298,48163.74204148607
2025-04-01,49702.27764849345,48361.86607619298,48163.74204148607
2025-04-02,49996.49619214092,48361.86607619298,48163.74204148607
2025-04-03,47986.82114443994,48361.86607619298,48163.74204148607
2025-04-04,45345.404259857634,48361.86607619298,48163.74204148607
2025-04-07,44944.40773768847,48361.86607619298,48163.74204148607
2025-04-08,44649.67445784823,48361.86607619298,48163.74204148607
2025-04-09,48208.358408916545,48361.86607619298,48163.74204148607
2025-04-10,46966.15729216423,48361.86607619298,48163.74204148607
2025-04-11,47708.43128403564,48361.86607619298,48163.74204148607
2025-04-14,48128.431218531805,48361.86607619298,48163.74204148607
2025-04-15,47925.64736189359,48361.86607619298,48163.74204148607
2025-04-16,47099.48702753487,48361.86607619298,48163.74204148607
2025-04-17,46480.17285503522,48361.86607619298,48163.74204148607
2025-04-21,45317.33107214003,48361.86607619298,48163.74204148607
2025-04-22,46526.58201901351,48361.86607619298,48163.74204148607
2025-04-23,47013.71730341721,48361.86607619298,48163.74204148607
2025-04-24,47616.41746063673,48361.86607619298,48163.74204148607
2025-04-25,47621.53582602858,48361.86607619298,48163.74204148607
2025-04-28,47769.87964711177,48361.86607619298,48163.74204148607
2025-04-29,48118.89630483,48361.86607619298,48163.74204148607
2025-04-30,48256.295174997016,48361.86607619298,48163.74204148607
2025-05-01,48385.274642075536,48361.86607619298,48163.74204148607
2025-05-02,49051.12638941291,48361.86607619298,48163.74204148607
2025-05-05,48959.41979174693,48361.86607619298,48163.74204148607
2025-05-06,48481.74666349671,48361.86607619298,48163.74204148607
2025-05-07,48814.90913494389,48361.86607619298,48163.74204148607
2025-05-08,49150.51955218518,48361.86607619298,48163.74204148607
2025-05-09,48977.47312857888,48361.86607619298,48163.74204148607
2025-05-12,50376.216525452786,48361.86607619298,48163.74204148607
2025-05-13,50052.71501350247,48361.86607619298,48163.74204148607
2025-05-14,49938.96848196225,48361.86607619298,48163.74204148607
2025-05-15,50289.7165060458,48361.86607619298,48163.74204148607
2025-05-16,50692.3738659941,48361.86607619298,48163.74204148607
2025-05-19,50872.91749458337,48361.86607619298,48163.74204148607
2025-05-20,50745.66369050832,48361.86607619298,48163.74204148607
2025-05-21,49763.98473541523,47406.9571316947,47925.99279912089
2025-05-22,49772.54724308315,47387.99434884202,47921.20019984098
2025-05-23,49479.98476191719,47387.99434884202,47921.20019984098
2025-05-27,50369.828079784,47387.99434884202,47921.20019984098
2025-05-28,50080.974061587665,47387.99434884202,47921.20019984098
2025-05-29,50204.55943848175,47387.99434884202,47921.20019984098
2025-05-30,50250.9723704382,47387.99434884202,47921.20019984098
2025-06-02,50354.2051349962,47387.99434884202,47921.20019984098
2025-06-03,50628.077417455075,47387.99434884202,47921.20019984098
2025-06-04,50501.06130820117,47387.99434884202,47921.20019984098
2025-06-05,50386.35089415976,47387.99434884202,47921.20019984098
