,SPY,QQQ,SMH
2021-11-08,20580.550825370556,15000.0,16754.255509980027
2021-11-09,20513.6972487104,15000.0,16776.37849581987
2021-11-10,20351.526472343216,15000.0,16248.768418915573
2021-11-11,20357.995222343216,15000.0,16540.227189667527
2021-11-12,20508.952375663524,15000.0,16707.80037081987
2021-11-15,20515.8534987104,15000.0,16685.680863983933
2021-11-16,20595.64597917915,15000.0,16901.368669159714
2021-11-17,20546.47477556587,15000.0,16801.26555026323
2021-11-18,20615.05222917915,15000.0,17213.289201386277
2021-11-19,20578.82694841743,15000.0,17321.689744599167
2021-11-22,20521.892683280712,15000.0,17061.20106662065
2021-11-23,20548.633833183056,15000.0,16937.87037814409
2021-11-24,20602.544294608837,15000.0,17108.211106903855
2021-11-26,20150.969953788524,15000.0,16613.78376925737
2021-11-29,20393.79374529243,15000.0,17278.550096161667
2021-11-30,20003.892927421337,15000.0,16917.958299286667
2021-12-01,19785.649824393993,15000.0,16858.23249972612
2021-12-02,20083.254438651806,15000.0,16901.920091278855
2021-12-03,19911.59110857368,15000.0,16710.56617892534
2021-12-06,20143.205488456493,15000.0,16646.96476901323
2021-12-07,20552.51396013618,15000.0,17451.653154022995
2021-12-08,20605.997663749466,15000.0,17376.440568573777
2021-12-09,20469.27232195259,15000.0,16957.227555878464
2021-12-10,20658.613813651806,15000.0,17064.51829684526
2021-12-13,20478.76347185493,15000.0,16623.184037812058
2021-12-14,20340.311445487743,15000.0,16527.507951386277
2021-12-15,20652.57743669868,15000.0,17208.86564791948
2021-12-16,20473.58622576118,15000.0,16463.35164035112
2021-12-17,20259.470319999466,15000.0,16386.477830536667
2021-12-20,20047.820905936966,15000.0,16263.766404755417
2021-12-21,20397.539106620556,15000.0,16849.24797213823
2021-12-22,20597.93699480415,15000.0,17048.857560761277
2021-12-23,20723.88950945259,15000.0,17195.08879245073
2021-12-27,21012.147566093216,15000.0,17656.578660614792
2021-12-28,20995.265363944774,15000.0,17483.103349335495
2021-12-29,21021.672407401806,15000.0,17480.325364716355
2021-12-30,20964.538801444774,15000.0,17282.3822189644
2021-12-31,20912.597883476024,15000.0,17224.55769503862
2022-01-03,21031.622602714306,15000.0,17603.20204318315
2022-01-04,21024.69901872993,15000.0,17512.015611298386
2022-01-05,20627.80161882759,15000.0,16913.19032443315
2022-01-06,20608.753340018993,15000.0,17080.54954684526
2022-01-07,20528.684309257274,15000.0,16790.01365255076
2022-01-10,20503.581403983837,15000.0,16647.56860655314
2022-01-11,20687.09849382759,15000.0,16647.56860655314
2022-01-12,20742.06461931587,15000.0,16641.902564567477
2022-01-13,20461.16532732368,15000.0,16353.887916129977
2022-01-14,20469.38883806587,15000.0,16698.749076408298
2022-01-18,20113.172407401806,15000.0,15955.432197135837
2022-01-19,19908.01841570259,15000.0,15516.911399406345
2022-01-20,19691.60868669868,15000.0,15044.287437004
2022-01-21,19312.01884294868,15000.0,14795.252189201266
2022-01-24,19392.524458183056,15000.0,14983.652061027438
2022-01-25,19160.098676933056,15000.0,14393.546210807712
2022-01-26,19112.9208815229,15000.0,14826.40046762708
2022-01-27,19020.29618669868,15000.0,14826.40046762708
2022-01-28,19483.85203386665,15000.0,14826.40046762708
2022-01-31,19828.377546561966,15000.0,14826.40046762708
2022-02-01,19959.953718436966,15000.0,14826.40046762708
2022-02-02,20150.39579607368,15000.0,14826.40046762708
2022-02-03,19685.11607195259,15000.0,14826.40046762708
2022-02-04,19776.00846697212,15000.0,14826.40046762708
2022-02-07,19713.682173026806,15000.0,14826.40046762708
2022-02-08,19872.95689226509,15000.0,14826.40046762708
2022-02-09,20158.61930681587,15000.0,14826.40046762708
2022-02-10,19802.843672050243,15000.0,14826.40046762708
2022-02-11,19419.35825945259,15000.0,14826.40046762708
2022-02-14,19357.031965507274,15000.0,14826.40046762708
2022-02-15,19663.470747245556,15000.0,14826.40046762708
2022-02-16,19685.11607195259,15000.0,14826.40046762708
2022-02-17,19272.20261980415,15000.0,14826.40046762708
2022-02-18,19149.709089530712,15000.0,14826.40046762708
2022-02-22,18948.01688982368,15000.0,14826.40046762708
2022-02-23,18618.206098808056,15000.0,14826.40046762708
2022-02-24,18893.049360526806,15000.0,14826.40046762708
2022-02-25,19302.065840018993,15000.0,14826.40046762708
2022-02-28,19253.590925468216,15000.0,14826.40046762708
2022-03-01,18965.76103044868,15000.0,14826.40046762708
2022-03-02,19308.123274101024,15000.0,14826.40046762708
2022-03-03,19213.769087089306,15000.0,14826.40046762708
2022-03-04,19060.550398124466,15000.0,14826.40046762708
2022-03-07,18509.135786308056,15000.0,14826.40046762708
2022-03-08,18371.49656511665,15000.0,14826.40046762708
2022-03-09,18854.52604509712,15000.0,14826.40046762708
2022-03-10,18770.992414726024,15000.0,14826.40046762708
2022-03-11,18536.83573747993,15000.0,14826.40046762708
2022-03-14,18403.95683122993,15000.0,14826.40046762708
2022-03-15,18800.857038749466,15000.0,14826.40046762708
2022-03-16,19209.870710624466,15000.0,14826.40046762708
2022-03-17,19445.759687675243,15000.0,14826.40046762708
2022-03-18,19654.856977714306,15000.0,14826.40046762708
2022-03-21,19649.212263358837,15000.0,14826.40046762708
2022-03-22,19874.97837664009,15000.0,14826.40046762708
2022-03-23,19623.59696794868,15000.0,14826.40046762708
2022-03-24,19914.05338884712,15000.0,14826.40046762708
2022-03-25,20009.571333183056,15000.0,14778.324739703137
2022-03-28,20149.371015800243,15000.0,14885.62744356056
2022-03-29,20394.241560233837,15000.0,15222.014009722669
2022-03-30,20270.507063163524,15000.0,14780.469820269544
2022-03-31,19963.985456718216,15000.0,14481.101839312512
2022-04-01,20019.5566237104,15000.0,14246.650240191419
2022-04-04,20188.0136549604,15000.0,14481.637270220715
2022-04-05,19937.498396171337,15000.0,13857.148592242202
2022-04-06,19741.6923658979,15000.0,13570.655290850598
2022-04-07,19839.376386893993,15000.0,13572.800371417004
2022-04-08,19787.278242362743,15000.0,13250.361864336926
2022-04-11,19455.13993669868,15000.0,12952.601854571301
2022-04-12,19384.371137870556,15000.0,12882.856523760754
2022-04-13,19602.3222487104,15000.0,13188.663103350598
2022-04-14,19362.6640455854,15000.0,12787.359316119153
2022-04-18,19370.477644218216,15000.0,13006.253206500012
2022-04-19,19677.43583513618,15000.0,12926.552882254173
2022-04-20,19663.107160819774,15000.0,12926.552882254173
2022-04-21,19374.38444353462,15000.0,12926.552882254173
2022-04-22,18852.51298357368,15000.0,12926.552882254173
2022-04-25,18959.75272966743,15000.0,12926.552882254173
2022-04-26,18420.952741874466,15000.0,12926.552882254173
2022-04-27,18471.752363456493,15000.0,12926.552882254173
2022-04-28,18929.361677421337,15000.0,12926.552882254173
2022-04-29,18242.94560076118,15000.0,12926.552882254173
2022-05-02,18350.617719901806,15000.0,12926.552882254173
2022-05-03,18433.109724296337,15000.0,12926.552882254173
2022-05-04,18983.634321464306,15000.0,12926.552882254173
2022-05-05,18780.16701915148,15000.0,12926.552882254173
2022-05-06,18780.16701915148,15000.0,12926.552882254173
2022-05-09,18780.16701915148,15000.0,12926.552882254173
2022-05-10,18780.16701915148,15000.0,12926.552882254173
2022-05-11,18780.16701915148,15000.0,12926.552882254173
2022-05-12,18780.16701915148,15000.0,12926.552882254173
2022-05-13,18780.16701915148,15000.0,12926.552882254173
2022-05-16,18780.16701915148,15000.0,12926.552882254173
2022-05-17,18780.16701915148,15000.0,12926.552882254173
2022-05-18,18780.16701915148,15000.0,12926.552882254173
2022-05-19,18780.16701915148,15000.0,12926.552882254173
2022-05-20,18780.16701915148,15000.0,12926.552882254173
2022-05-23,18780.16701915148,15000.0,12926.552882254173
2022-05-24,18780.16701915148,15000.0,12926.552882254173
2022-05-25,18780.16701915148,15000.0,12926.552882254173
2022-05-26,18780.16701915148,15000.0,12926.552882254173
2022-05-27,18780.16701915148,15000.0,12926.552882254173
2022-05-31,18780.16701915148,15000.0,12891.92125790612
2022-06-01,18780.16701915148,15000.0,12680.167199068228
2022-06-02,18780.16701915148,15000.0,12660.887796303608
2022-06-03,18780.16701915148,15000.0,12556.05492264561
2022-06-06,18780.16701915148,15000.0,12756.7343003319
2022-06-07,18780.16701915148,15000.0,12756.7343003319
2022-06-08,18780.16701915148,15000.0,12543.962140755812
2022-06-09,18780.16701915148,15000.0,12453.917023715561
2022-06-10,18780.16701915148,15000.0,12453.917023715561
2022-06-13,18780.16701915148,15000.0,12453.917023715561
2022-06-14,18780.16701915148,15000.0,12453.917023715561
2022-06-15,18780.16701915148,15000.0,12453.917023715561
2022-06-16,18780.16701915148,15000.0,12453.917023715561
2022-06-17,18780.16701915148,15000.0,12453.917023715561
2022-06-21,18780.16701915148,15000.0,12453.917023715561
2022-06-22,18780.16701915148,15000.0,12453.917023715561
2022-06-23,18780.16701915148,15000.0,12453.917023715561
2022-06-24,18780.16701915148,15000.0,12453.917023715561
2022-06-27,18780.16701915148,15000.0,12453.917023715561
2022-06-28,18780.16701915148,15000.0,12453.917023715561
2022-06-29,18780.16701915148,15000.0,12453.917023715561
2022-06-30,18780.16701915148,15000.0,12453.917023715561
2022-07-01,18780.16701915148,15000.0,12453.917023715561
2022-07-05,18780.16701915148,15000.0,12453.917023715561
2022-07-06,18780.16701915148,15000.0,12453.917023715561
2022-07-07,18780.16701915148,15000.0,12453.917023715561
2022-07-08,18780.16701915148,15000.0,12453.917023715561
2022-07-11,18780.16701915148,15000.0,12453.917023715561
2022-07-12,18780.16701915148,15000.0,12453.917023715561
2022-07-13,18780.16701915148,15000.0,12453.917023715561
2022-07-14,18780.16701915148,15000.0,12453.917023715561
2022-07-15,18780.16701915148,15000.0,12453.917023715561
2022-07-18,18780.16701915148,15000.0,12453.917023715561
2022-07-19,18780.16701915148,15000.0,12453.917023715561
2022-07-20,18780.16701915148,15000.0,12780.37419917845
2022-07-21,18991.86609391644,15000.0,12993.328377034897
2022-07-22,18816.49988297894,15000.0,12701.421684530014
2022-07-25,18839.25073747113,15000.0,12623.57897212767
2022-07-26,18617.436772627378,15000.0,12434.534248616928
2022-07-27,19098.505193037534,15000.0,13012.232414510485
2022-07-28,19336.908513350034,15000.0,13170.140053060288
2022-07-29,19617.48865251019,15000.0,13279.118110921614
2022-08-01,19559.66852311566,15000.0,13305.806419637436
2022-08-02,19431.224614424256,15000.0,13278.561470296614
2022-08-03,19734.08563737347,15000.0,13593.822716024157
2022-08-04,19720.812016768003,15000.0,13731.156395223374
2022-08-05,19687.63788346722,15000.0,13638.303520467514
2022-08-08,19664.88855485394,15000.0,13404.22222163939
2022-08-09,19587.160283369565,15000.0,12847.095405843493
2022-08-10,19996.65887956097,15000.0,13363.63268306517
2022-08-11,19996.65887956097,15000.0,13360.852958944079
2022-08-12,20333.647710127378,15000.0,13735.605171468493
2022-08-15,20417.064458174256,15000.0,13797.322700765364
2022-08-16,20456.874638838315,15000.0,13642.751426961657
2022-08-17,20312.315923018003,15000.0,13351.955406453842
2022-08-18,20371.088200850034,15000.0,13537.108864095442
2022-08-19,20098.56317643597,15000.0,13158.464515950913
