episode,win_start,win_end,qqq_ret,qqq_depth_reported,run,n_names,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_qqq,pct_positive,pct_beat_qqq,mean_trades,mean_exposure
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,16,30,-0.0476774166788516,-0.0273435161826515,-1.7139476577869466,-0.067466297515054,0.180005636755358,0.1,0.9666666666666668,1.6333333333333333,0.3161904761904762
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,17,30,-0.0569978555457735,-0.0317989432002636,-2.009914448136407,-0.0669809930414067,0.1706851978884361,0.0,0.9666666666666668,1.5,0.2399999999999999
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,18,30,-0.0566107093181647,-0.0391236345973941,-1.6404198066918498,-0.0795678731910186,0.171072344116045,0.0666666666666666,1.0,1.5333333333333334,0.3485714285714286
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,19,30,-0.0726702812408782,-0.0595896479080383,-2.3845369858936247,-0.0877606073016948,0.1550127721933314,0.1,0.9666666666666668,1.3666666666666667,0.3114285714285714
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,20,30,-0.0725407446686059,-0.0440715649875179,-2.194082928684681,-0.088436497582573,0.1551423087656037,0.0666666666666666,0.9333333333333332,1.5,0.2514285714285714
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,21,30,-0.0454583622464069,-0.0256369596767198,-1.646459681886609,-0.0608660084926749,0.1822246911878027,0.0333333333333333,1.0,1.3,0.2057142857142856
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,22,30,-0.0407348131548722,-0.0052937221093287,-1.5251671079840057,-0.0614494343150382,0.1869482402793374,0.0666666666666666,1.0,1.2333333333333334,0.2961904761904762
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,23,30,-0.0667733926043748,-0.055711954117031,-2.2902112241895995,-0.0836082801474976,0.1609096608298348,0.0666666666666666,0.9333333333333332,1.7,0.3952380952380952
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,24,30,-0.071102128513929,-0.055711954117031,-2.1522611722815217,-0.0934358996912421,0.1565809249202806,0.1333333333333333,0.9666666666666668,2.066666666666667,0.3695238095238095
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,25,30,-0.0751698417544731,-0.0893399643355026,-2.086766273716558,-0.0942057113852705,0.1525132116797365,0.1,0.9666666666666668,1.7,0.2752380952380952
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,26,30,-0.0605774636529377,-0.0381189850801085,-1.9049451696830029,-0.0790658348830104,0.1671055897812719,0.0333333333333333,1.0,1.6666666666666667,0.2895238095238095
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,27,30,-0.0603580414220954,-0.0345194866754072,-1.997043453941952,-0.0813304545751847,0.1673250120121143,0.0666666666666666,1.0,1.6,0.2847619047619047
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,28,30,-0.0734656858619083,-0.0609508964567586,-2.299595734478444,-0.088695557156056,0.1542173675723014,0.0333333333333333,0.9333333333333332,1.4333333333333331,0.2733333333333333
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,29,30,-0.0490873503853548,-0.0260287676670061,-1.6479029575760715,-0.0673527114172674,0.1785957030488548,0.0666666666666666,1.0,1.5333333333333334,0.2323809523809523
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,30,30,-0.0662210726497247,-0.0440715649875179,-2.265268430906241,-0.0795802647756672,0.1614619807844849,0.0666666666666666,0.9666666666666668,1.4666666666666666,0.2361904761904761
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,31,30,-0.0588064455861881,-0.0482310461480941,-2.148079099891651,-0.0734433087820478,0.1688766078480215,0.1,0.9666666666666668,1.8,0.2847619047619047
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,32,30,-0.0712451600037351,-0.0791881381287341,-2.353510278668122,-0.0860338707987082,0.1564378934304745,0.1,0.9666666666666668,1.8,0.2942857142857143
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,33,30,-0.072728340866233,-0.0462000550137775,-2.3246594318795606,-0.0868635097556444,0.1549547125679767,0.0333333333333333,0.9333333333333332,1.6333333333333333,0.2895238095238095
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,34,30,-0.0520328921685443,-0.0219121943496307,-1.485058787635851,-0.0826691126305446,0.1756501612656653,0.1,1.0,1.7333333333333334,0.3580952380952381
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,35,30,-0.0637924871051915,-0.0585667100647405,-2.1983872186440605,-0.083433430565395,0.1638905663290182,0.0666666666666666,1.0,1.9,0.3761904761904763
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,36,30,-0.0597287894224761,-0.0371049981108967,-1.7162177867338722,-0.0803741819056581,0.1679542640117335,0.0,0.9666666666666668,1.6666666666666667,0.3419047619047619
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,37,30,-0.0785162168144434,-0.0685400713841528,-2.4502050815633507,-0.1010755400320751,0.1491668366197663,0.0666666666666666,0.9666666666666668,2.1,0.3609523809523809
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,38,30,-0.0522440574781218,-0.0277716810614466,-1.6410266335226735,-0.0698740432784193,0.1754389959560878,0.1,0.9666666666666668,1.5666666666666669,0.3409523809523809
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,39,30,-0.0574020969543881,-0.0599129308982229,-2.0772963283849952,-0.0750875837187694,0.1702809564798215,0.0666666666666666,1.0,1.8,0.3114285714285714
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,40,30,-0.098862705965801,-0.1031418409962779,-2.8033766283846635,-0.1172191639158169,0.1288203474684086,0.1,0.9,2.0,0.3438095238095237
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,41,30,-0.0654689174173659,-0.0461025561218345,-2.1527819236265886,-0.084990418644124,0.1622141360168437,0.0666666666666666,0.9666666666666668,1.7666666666666666,0.3238095238095237
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,42,30,-0.0596745911814006,-0.0404844212306358,-1.7392233732469442,-0.0816830789211641,0.168008462252809,0.0666666666666666,0.9666666666666668,1.5666666666666669,0.3190476190476191
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,43,30,-0.0783421893408042,-0.0555717181850532,-2.237490160843252,-0.0939196584628474,0.1493408640934054,0.0333333333333333,0.9666666666666668,1.5,0.2447619047619048
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,44,30,-0.065155377016342,-0.0579568111271698,-2.178939111739308,-0.0830838696695591,0.1625276764178676,0.0666666666666666,1.0,2.0,0.3104761904761905
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,45,30,-0.0387521570070031,-0.0148624248860517,-1.3542169948060945,-0.0621063651045203,0.1889308964272065,0.1,1.0,1.5,0.3295238095238095
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,46,30,-0.05967110077201,-0.0454323516207597,-1.9632060657076904,-0.0779921082510695,0.1680119526621997,0.0333333333333333,0.9666666666666668,1.8,0.2771428571428571
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,47,30,-0.0609002228386619,-0.0470643457152651,-2.0319373864785053,-0.0771375424169045,0.1667828305955477,0.1,1.0,1.3666666666666667,0.3314285714285715
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,48,30,-0.0671665134028204,-0.055711954117031,-2.238619789315474,-0.0825473328150376,0.1605165400313892,0.0333333333333333,0.9666666666666668,1.8,0.3123809523809523
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,49,30,-0.0648787715414261,-0.0532989866981922,-2.094385154286857,-0.087146626556879,0.1628042818927835,0.1333333333333333,1.0,1.9666666666666663,0.2761904761904761
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,50,30,-0.0640231944189382,-0.0554274767244518,-2.048690634998594,-0.0847681983279448,0.1636598590152714,0.1,1.0,1.6666666666666667,0.3638095238095238
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,51,30,-0.0572206840543004,-0.0316736762778759,-1.8651897980505785,-0.0719016458097144,0.1704623693799093,0.1,0.9666666666666668,1.6333333333333333,0.2523809523809523
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,52,30,-0.0661247654663631,-0.0590226511624277,-2.550492033222783,-0.0817973476481408,0.1615582879678465,0.0666666666666666,1.0,1.7,0.3266666666666667
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,53,30,-0.0743638125204988,-0.0277716810614466,-2.0074137546966258,-0.0861141601440549,0.1533192409137108,0.0,0.9,1.5666666666666669,0.2942857142857142
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,54,30,-0.0699877215931883,-0.0688710078520625,-2.2846674861921814,-0.0895240476057373,0.1576953318410213,0.1,0.9666666666666668,2.0,0.3333333333333333
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,55,30,-0.0663375978586444,-0.0328129301694754,-1.9212278771770808,-0.0878964933592764,0.1613454555755652,0.0333333333333333,0.9666666666666668,1.7666666666666666,0.3323809523809524
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,56,30,-0.0531221524300824,-0.0274478725699434,-1.6061299117550498,-0.0693704836484917,0.1745609010041272,0.0333333333333333,0.9666666666666668,1.3666666666666667,0.3028571428571427
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,57,30,-0.0556129328967043,-0.0274478725699434,-1.8812162582601395,-0.0702220701508823,0.1720701205375053,0.0666666666666666,0.9666666666666668,1.2666666666666666,0.2971428571428571
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,58,30,-0.0699566518289379,-0.0486540492759255,-2.115557887617926,-0.0971800018636957,0.1577264016052717,0.0666666666666666,0.9666666666666668,2.033333333333333,0.3952380952380952
